accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,windows,specificity,balanced_accuracy,model,seed,test_patient,threshold
0.9941550986327106,0.7978723404255319,0.6696428571428571,0.7281553398058253,0.9878183320006638,0.8083729630164063,9450,19,37,75,9581,0.9979934523180906,0.8338181547304738,canonical_absolute,42,chb01,0.95
0.9503458059939706,0.06934306569343066,0.4318181818181818,0.11949685534591195,0.7924993906897392,0.24747401075463274,5340,255,25,19,5639,0.9544235924932976,0.6931208871557397,canonical_absolute,42,chb02,0.95
0.9908080808080808,0.7307692307692307,0.18446601941747573,0.29457364341085274,0.7972333516005989,0.4159871877082163,9790,7,84,19,9900,0.9992854955598652,0.5918757574886705,canonical_absolute,42,chb03,0.95
0.9495186373734881,0.21199143468950749,0.7071428571428572,0.3261943986820428,0.8478258334230452,0.5987403263004542,7594,368,41,99,8102,0.9537804571715649,0.830461657157211,canonical_absolute,42,chb05,0.95
0.9636507936507936,0.5040322580645161,0.5411255411255411,0.5219206680584552,0.9070626468056028,0.5072143730908227,5946,123,106,125,6300,0.9797330696984676,0.7604293054120044,canonical_absolute,42,chb08,0.95
0.9941550986327106,0.8783783783783784,0.5803571428571429,0.6989247311827957,0.9872818067981232,0.7829254279665159,9460,9,47,65,9581,0.9990495300454113,0.7897033364512771,matched_relative,42,chb01,0.94
0.9904238340131228,0.4305555555555556,0.7045454545454546,0.5344827586206896,0.9498415793321959,0.5326707622502423,5554,41,13,31,5639,0.9926720285969616,0.848608741571208,matched_relative,42,chb02,0.95
0.98989898989899,0.5882352941176471,0.0970873786407767,0.16666666666666666,0.8459177616290305,0.28967171464344965,9790,7,93,10,9900,0.9992854955598652,0.548186437100321,matched_relative,42,chb03,0.95
0.9414959269316219,0.14468085106382977,0.4857142857142857,0.22295081967213115,0.7573787992966592,0.33053727006309935,7560,402,72,68,8102,0.9495101733232856,0.7176122295187857,matched_relative,42,chb05,0.95
0.9666666666666667,0.5346534653465347,0.7012987012987013,0.6067415730337079,0.9440731729411908,0.4018357093443478,5928,141,69,162,6300,0.9767671774592189,0.8390329393789602,matched_relative,42,chb08,0.95
0.9931113662456946,0.7948717948717948,0.5535714285714286,0.6526315789473685,0.9773028152014844,0.7144063398777796,9453,16,50,62,9581,0.9983102756362868,0.7759408521038578,notebook_relative,42,chb01,0.95
0.9914878524561093,0.4666666666666667,0.6363636363636364,0.5384615384615384,0.9521224307417337,0.5319966609978137,5563,32,16,28,5639,0.9942806076854335,0.8153221220245349,notebook_relative,42,chb02,0.94
0.98989898989899,0.5384615384615384,0.20388349514563106,0.29577464788732394,0.8730481195452144,0.2939886586643803,9779,18,82,21,9900,0.998162702868225,0.601023099006928,notebook_relative,42,chb03,0.95
0.9434707479634659,0.18072289156626506,0.6428571428571429,0.28213166144200624,0.8326317867011159,0.5511817836317583,7554,408,50,90,8102,0.948756593820648,0.7958068683388955,notebook_relative,42,chb05,0.95
0.9646031746031746,0.5153846153846153,0.5800865800865801,0.5458248472505092,0.9343951484337051,0.3957587718235693,5943,126,97,134,6300,0.9792387543252595,0.7796626672059198,notebook_relative,42,chb08,0.95
