model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_std,average_precision_min,average_precision_max
canonical_absolute,0.9696956832918087,0.0215758426944772,0.9495186373734881,0.9941550986327106,0.4628016659284434,0.3176060360869857,0.06934306569343066,0.7978723404255319,0.5068390913293825,0.21056754246532136,0.18446601941747573,0.7071428571428572,0.9770432134482572,0.022325266127288756,0.9537804571715649,0.9992854955598652,0.7419411523888199,0.1018848813243577,0.5918757574886705,0.8338181547304738,0.3980681810606176,0.233332335056258,0.11949685534591195,0.7281553398058253,0.86648791090393,0.08213730656755205,0.7924993906897392,0.9878183320006638,0.5155577721741065,0.20887369989718096,0.24747401075463274,0.8083729630164063
matched_relative,0.9765281032286224,0.022400246753844458,0.9414959269316219,0.9941550986327106,0.5153007088923891,0.2655466988190006,0.14468085106382977,0.8783783783783784,0.5138005926112722,0.25020374738851137,0.0970873786407767,0.7045454545454546,0.9834568809969486,0.021069680728025807,0.9495101733232856,0.9992854955598652,0.7486287368041105,0.12348601455966857,0.548186437100321,0.848608741571208,0.4459533098351982,0.23738997902952616,0.16666666666666666,0.6989247311827957,0.8968986239994399,0.09389135228173212,0.7573787992966592,0.9872818067981232,0.467528176853531,0.19901878832310718,0.28967171464344965,0.7829254279665159
notebook_relative,0.9765144262334868,0.02186647573422798,0.9434707479634659,0.9931113662456946,0.49922150139017607,0.21892424747088052,0.18072289156626506,0.7948717948717948,0.5233524566048838,0.18251387697687585,0.20388349514563106,0.6428571428571429,0.9837497868671706,0.021068407285202803,0.948756593820648,0.9983102756362868,0.7535511217360271,0.08667340299657628,0.601023099006928,0.8153221220245349,0.46296485479774924,0.16522121757596375,0.28213166144200624,0.6526315789473685,0.9139000601246507,0.05952797856064564,0.8326317867011159,0.9773028152014844,0.4974664429990602,0.1603809930491842,0.2939886586643803,0.7144063398777796
