feature,importance
time__ptp__C3-P3,0.0007227199
time__line_length__P7-O1,0.0007210647
entropy__spectral__FP2-F4,0.0007163667
freq__alpha__P8-O2,0.00071460527
freq__delta__P3-O1,0.00070824096
freq__alpha__P4-O2,0.0006983934
freq__theta__FZ-CZ,0.00069500314
hjorth__mobility__F8-T8,0.00069246365
time__std__F4-C4,0.00068962155
hjorth__activity__P3-O1,0.00068292936
freq__beta__FP1-F7,0.0006812956
entropy__spectral__CZ-PZ,0.0006798161
freq__alpha__FZ-CZ,0.0006703099
freq__theta__P7-T7,0.0006662208
freq__alpha__CZ-PZ,0.00066407677
freq__alpha__C4-P4,0.00066395424
time__rms__FP2-F4,0.00064901874
hjorth__mobility__P7-T7,0.00064074586
time__mean__F8-T8,0.0006300292
freq__beta__FT10-T8,0.00061669556
time__ptp__FP2-F8,0.0006148923
entropy__spectral__FZ-CZ,0.0006121978
hjorth__complexity__P7-T7,0.00061158696
hjorth__mobility__P8-O2,0.00060234155
entropy__perm__T8-P8,0.0005964024
freq__gamma__FT9-FT10,0.00059567846
hjorth__complexity__F7-T7,0.0005951951
freq__beta__FP1-F3,0.00059511396
freq__delta__F7-T7,0.00059494324
entropy__perm__FP2-F4,0.00059277867
time__mean__P7-O1,0.0005897281
hjorth__mobility__FP2-F8,0.00058705005
time__ptp__F8-T8,0.0005822512
time__std__F8-T8,0.0005804925
entropy__spectral__FT9-FT10,0.0005800953
time__rms__F4-C4,0.00057741726
time__std__C4-P4,0.00056860194
time__mean__T7-FT9,0.00055528426
time__mean__C4-P4,0.0005545244
hjorth__complexity__T8-P8,0.0005499644
hjorth__mobility__C3-P3,0.0005492229
time__line_length__F4-C4,0.0005451855
hjorth__complexity__FP2-F4,0.00053172064
freq__alpha__F3-C3,0.000530991
time__std__F7-T7,0.0005297821
freq__beta__F4-C4,0.0005265208
entropy__spectral__FP2-F8,0.0005185701
freq__delta__FP1-F7,0.00051459856
time__ptp__T7-FT9,0.00051111984
entropy__perm__F4-C4,0.00049870845
time__line_length__F8-T8,0.0004951503
freq__theta__FP1-F3,0.0004951364
freq__gamma__P7-T7,0.00048198985
hjorth__mobility__F7-T7,0.00047475693
freq__beta__P4-O2,0.00047467524
time__mean__T8-P8,0.00047047684
time__ptp__FT10-T8,0.00046782204
freq__delta__C4-P4,0.0004628717
time__std__CZ-PZ,0.0004522844
freq__delta__T8-P8,0.00045144602
entropy__spectral__F7-T7,0.00044632
freq__gamma__FP1-F7,0.00043565512
time__rms__FP2-F8,0.00043000272
time__ptp__CZ-PZ,0.0004246164
hjorth__mobility__FP2-F4,0.00042263113
hjorth__complexity__FP2-F8,0.00042111162
hjorth__complexity__P3-O1,0.0004166719
time__ptp__P7-O1,0.00040833084
time__mean__FP1-F3,0.00040533734
entropy__spectral__P4-O2,0.00039867117
time__ptp__P4-O2,0.0003939857
entropy__perm__P7-T7,0.00038531757
entropy__spectral__C4-P4,0.00038250166
entropy__perm__T7-P7,0.0003799792
entropy__spectral__FP1-F3,0.00037476016
hjorth__complexity__P4-O2,0.0003738578
time__line_length__P4-O2,0.0003725716
entropy__spectral__F4-C4,0.00037105146
time__std__T7-FT9,0.00036484687
freq__gamma__C3-P3,0.0003646984
time__mean__P3-O1,0.00036273443
hjorth__complexity__T7-P7,0.00034183243
time__ptp__T8-P8,0.00033923573
time__ptp__FP1-F7,0.00033923544
time__mean__FZ-CZ,0.00033871626
freq__alpha__FP1-F7,0.00033606694
time__std__FP2-F4,0.00033306557
time__ptp__P3-O1,0.00032823056
entropy__perm__F8-T8,0.0003115982
entropy__spectral__F3-C3,0.00031125295
time__line_length__T7-P7,0.00030331852
freq__delta__T7-P7,0.0003011198
entropy__perm__FP1-F3,0.00029395122
hjorth__mobility__FZ-CZ,0.00029392735
