feature,importance
time__std__CZ-PZ,0.120074496
freq__delta__C4-P4,0.10627685
hjorth__activity__P4-O2,0.08287492
time__rms__CZ-PZ,0.06718792
time__std__P4-O2,0.058009576
time__rms__P4-O2,0.04154734
hjorth__activity__CZ-PZ,0.039927762
time__rms__C4-P4,0.024990555
time__line_length__P8-O2,0.020841498
time__line_length__P3-O1,0.012875449
time__rms__FP2-F4,0.012219905
hjorth__activity__FP1-F7,0.011438199
time__line_length__FT10-T8,0.011058329
freq__theta__P8-O2,0.008940673
time__rms__FZ-CZ,0.0086456835
freq__theta__F8-T8,0.006784358
time__std__FP1-F7,0.00677671
freq__delta__P8-O2,0.0067121345
time__line_length__FT9-FT10,0.006136476
hjorth__activity__F3-C3,0.0060040494
freq__alpha__FT9-FT10,0.005813595
time__std__FT10-T8,0.005622396
freq__delta__P4-O2,0.005608821
hjorth__mobility__CZ-PZ,0.005247119
freq__delta__T8-P8,0.004687785
hjorth__activity__FP1-F3,0.004583263
freq__delta__F8-T8,0.004012895
hjorth__activity__FT9-FT10,0.0039936043
hjorth__complexity__F7-T7,0.003934685
entropy__perm__FZ-CZ,0.0039275545
freq__beta__F3-C3,0.0038746437
time__rms__F8-T8,0.0038110968
freq__theta__FP2-F4,0.0036829887
hjorth__mobility__P7-O1,0.003598326
freq__alpha__P4-O2,0.0033932007
time__ptp__FP1-F3,0.0033604363
time__ptp__P4-O2,0.0032679527
freq__gamma__P7-O1,0.0032502436
freq__beta__CZ-PZ,0.0031948024
time__rms__FT10-T8,0.0030437324
freq__alpha__F3-C3,0.00299317
freq__theta__FZ-CZ,0.0029240248
time__ptp__T7-P7,0.0029036785
freq__alpha__CZ-PZ,0.0028939336
freq__alpha__P7-T7,0.0028900334
hjorth__mobility__F3-C3,0.002799455
entropy__spectral__F3-C3,0.0027320543
time__std__F4-C4,0.0027084593
time__ptp__CZ-PZ,0.0026579974
time__line_length__T8-P8,0.0026479166
hjorth__complexity__C4-P4,0.0025658302
freq__gamma__P8-O2,0.0024581908
hjorth__activity__T8-P8,0.0024571407
time__rms__T8-P8,0.0024125264
time__rms__FP1-F7,0.0023919272
freq__theta__C3-P3,0.0023567022
freq__theta__F4-C4,0.0023167378
freq__gamma__FT9-FT10,0.0022277967
freq__theta__FP2-F8,0.0022254854
hjorth__mobility__C3-P3,0.0022252975
freq__gamma__FZ-CZ,0.0022213343
entropy__spectral__T8-P8,0.0021324481
time__std__FZ-CZ,0.0021323627
freq__delta__P7-T7,0.0021223482
time__rms__P3-O1,0.00207526
freq__gamma__FP1-F3,0.0020544715
freq__beta__P3-O1,0.002050675
freq__gamma__F3-C3,0.0020311086
time__mean__C3-P3,0.0020028814
time__std__FT9-FT10,0.0019895718
freq__gamma__CZ-PZ,0.001980985
freq__theta__P7-T7,0.0019754614
freq__gamma__F8-T8,0.0018100432
hjorth__mobility__FT10-T8,0.0017826572
freq__theta__FP1-F3,0.0017533659
time__line_length__FP1-F3,0.0017458276
freq__theta__T8-P8,0.0017269736
time__line_length__FP1-F7,0.0017225422
freq__beta__FZ-CZ,0.0017063435
entropy__perm__P3-O1,0.0016691532
time__line_length__T7-P7,0.0016531803
time__std__F7-T7,0.0016395873
entropy__perm__T7-FT9,0.0016145183
time__rms__P8-O2,0.001589329
hjorth__complexity__C3-P3,0.0015873817
freq__alpha__P8-O2,0.0015837764
time__mean__C4-P4,0.0015742995
freq__theta__FT10-T8,0.0015721453
entropy__perm__F7-T7,0.0015466282
freq__gamma__P4-O2,0.0015178501
hjorth__complexity__F4-C4,0.0014825923
time__rms__T7-FT9,0.0014678244
freq__beta__F7-T7,0.001464562
