model,rank,feature
selected_supervised,1,time__std__CZ-PZ
selected_supervised,2,freq__delta__C4-P4
selected_supervised,3,hjorth__activity__P4-O2
selected_supervised,4,time__rms__CZ-PZ
selected_supervised,5,time__std__P4-O2
selected_supervised,6,time__rms__P4-O2
selected_supervised,7,hjorth__activity__CZ-PZ
selected_supervised,8,time__rms__C4-P4
selected_supervised,9,time__line_length__P8-O2
selected_supervised,10,time__line_length__P3-O1
selected_supervised,11,time__rms__FP2-F4
selected_supervised,12,hjorth__activity__FP1-F7
selected_supervised,13,time__line_length__FT10-T8
selected_supervised,14,freq__theta__P8-O2
selected_supervised,15,time__rms__FZ-CZ
selected_supervised,16,freq__theta__F8-T8
selected_supervised,17,time__std__FP1-F7
selected_supervised,18,freq__delta__P8-O2
selected_supervised,19,time__line_length__FT9-FT10
selected_supervised,20,hjorth__activity__F3-C3
selected_supervised,21,freq__alpha__FT9-FT10
selected_supervised,22,time__std__FT10-T8
selected_supervised,23,freq__delta__P4-O2
selected_supervised,24,hjorth__mobility__CZ-PZ
selected_supervised,25,freq__delta__T8-P8
selected_supervised,26,hjorth__activity__FP1-F3
selected_supervised,27,freq__delta__F8-T8
selected_supervised,28,hjorth__activity__FT9-FT10
selected_supervised,29,hjorth__complexity__F7-T7
selected_supervised,30,entropy__perm__FZ-CZ
selected_supervised,31,freq__beta__F3-C3
selected_supervised,32,time__rms__F8-T8
selected_supervised,33,freq__theta__FP2-F4
selected_supervised,34,hjorth__mobility__P7-O1
selected_supervised,35,freq__alpha__P4-O2
selected_supervised,36,time__ptp__FP1-F3
selected_supervised,37,time__ptp__P4-O2
selected_supervised,38,freq__gamma__P7-O1
selected_supervised,39,freq__beta__CZ-PZ
selected_supervised,40,time__rms__FT10-T8
selected_supervised,41,freq__alpha__F3-C3
selected_supervised,42,freq__theta__FZ-CZ
selected_supervised,43,time__ptp__T7-P7
selected_supervised,44,freq__alpha__CZ-PZ
selected_supervised,45,freq__alpha__P7-T7
selected_supervised,46,hjorth__mobility__F3-C3
selected_supervised,47,entropy__spectral__F3-C3
selected_supervised,48,time__std__F4-C4
selected_supervised,49,time__ptp__CZ-PZ
selected_supervised,50,time__line_length__T8-P8
selected_kd,1,time__std__CZ-PZ
selected_kd,2,freq__delta__C4-P4
selected_kd,3,hjorth__activity__P4-O2
selected_kd,4,time__rms__CZ-PZ
selected_kd,5,time__std__P4-O2
selected_kd,6,time__rms__P4-O2
selected_kd,7,hjorth__activity__CZ-PZ
selected_kd,8,time__rms__C4-P4
selected_kd,9,time__line_length__P8-O2
selected_kd,10,time__line_length__P3-O1
selected_kd,11,time__rms__FP2-F4
selected_kd,12,hjorth__activity__FP1-F7
selected_kd,13,time__line_length__FT10-T8
selected_kd,14,freq__theta__P8-O2
selected_kd,15,time__rms__FZ-CZ
selected_kd,16,freq__theta__F8-T8
selected_kd,17,time__std__FP1-F7
selected_kd,18,freq__delta__P8-O2
selected_kd,19,time__line_length__FT9-FT10
selected_kd,20,hjorth__activity__F3-C3
selected_kd,21,freq__alpha__FT9-FT10
selected_kd,22,time__std__FT10-T8
selected_kd,23,freq__delta__P4-O2
selected_kd,24,hjorth__mobility__CZ-PZ
selected_kd,25,freq__delta__T8-P8
selected_kd,26,hjorth__activity__FP1-F3
selected_kd,27,freq__delta__F8-T8
selected_kd,28,hjorth__activity__FT9-FT10
selected_kd,29,hjorth__complexity__F7-T7
selected_kd,30,entropy__perm__FZ-CZ
selected_kd,31,freq__beta__F3-C3
selected_kd,32,time__rms__F8-T8
selected_kd,33,freq__theta__FP2-F4
selected_kd,34,hjorth__mobility__P7-O1
selected_kd,35,freq__alpha__P4-O2
selected_kd,36,time__ptp__FP1-F3
selected_kd,37,time__ptp__P4-O2
selected_kd,38,freq__gamma__P7-O1
selected_kd,39,freq__beta__CZ-PZ
selected_kd,40,time__rms__FT10-T8
selected_kd,41,freq__alpha__F3-C3
selected_kd,42,freq__theta__FZ-CZ
selected_kd,43,time__ptp__T7-P7
selected_kd,44,freq__alpha__CZ-PZ
selected_kd,45,freq__alpha__P7-T7
selected_kd,46,hjorth__mobility__F3-C3
selected_kd,47,entropy__spectral__F3-C3
selected_kd,48,time__std__F4-C4
selected_kd,49,time__ptp__CZ-PZ
selected_kd,50,time__line_length__T8-P8
random_supervised,1,time__std__C3-P3
random_supervised,2,time__mean__F3-C3
random_supervised,3,time__std__F3-C3
random_supervised,4,time__line_length__F3-C3
random_supervised,5,time__std__F4-C4
random_supervised,6,time__line_length__F7-T7
random_supervised,7,time__std__F8-T8
random_supervised,8,time__ptp__F8-T8
random_supervised,9,time__std__FP1-F3
random_supervised,10,time__mean__FP1-F7
random_supervised,11,time__ptp__FP1-F7
random_supervised,12,time__std__FP2-F4
random_supervised,13,time__ptp__FP2-F4
random_supervised,14,time__ptp__FZ-CZ
random_supervised,15,time__mean__P3-O1
random_supervised,16,time__rms__P4-O2
random_supervised,17,time__mean__P7-T7
random_supervised,18,time__line_length__P7-T7
random_supervised,19,time__rms__P8-O2
random_supervised,20,time__mean__T7-FT9
random_supervised,21,time__rms__T7-FT9
random_supervised,22,time__rms__T8-P8
random_supervised,23,freq__theta__C3-P3
random_supervised,24,freq__alpha__C4-P4
random_supervised,25,freq__theta__F3-C3
random_supervised,26,freq__alpha__F3-C3
random_supervised,27,freq__alpha__F7-T7
random_supervised,28,freq__gamma__F7-T7
random_supervised,29,freq__delta__FP1-F7
random_supervised,30,freq__alpha__FP2-F8
random_supervised,31,freq__gamma__FT10-T8
random_supervised,32,freq__theta__FT9-FT10
random_supervised,33,freq__delta__P7-O1
random_supervised,34,freq__delta__P8-O2
random_supervised,35,freq__alpha__T7-FT9
random_supervised,36,freq__beta__T7-FT9
random_supervised,37,freq__delta__T8-P8
random_supervised,38,entropy__spectral__FP1-F7
random_supervised,39,entropy__perm__FT10-T8
random_supervised,40,hjorth__activity__C4-P4
random_supervised,41,hjorth__activity__CZ-PZ
random_supervised,42,hjorth__complexity__CZ-PZ
random_supervised,43,hjorth__mobility__F7-T7
random_supervised,44,hjorth__activity__FP2-F4
random_supervised,45,hjorth__complexity__FP2-F4
random_supervised,46,hjorth__activity__FP2-F8
random_supervised,47,hjorth__complexity__FT10-T8
random_supervised,48,hjorth__complexity__FT9-FT10
random_supervised,49,hjorth__mobility__T7-FT9
random_supervised,50,hjorth__mobility__T7-P7
