model,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
random_supervised,43,0.9503178830199783,0.05960945422927792,0.36220716707456174,0.1969695863065771,0.600816311520195,0.3228369382594125,0.373933407674672,0.21555410971312663,0.9415178184576701,0.05456761643627272,0.4940084029701944,0.3460923119676349
random_supervised,44,0.9520377129448342,0.06254772102425447,0.3410417974623841,0.16410453553165383,0.6025081956878073,0.33853215447051754,0.3715381732923178,0.21727199611626954,0.9034310005377284,0.10640373470655538,0.52549066531,0.33172376157739336
selected_kd,43,0.9597105157011872,0.055360115307876864,0.5187442089144291,0.30457523886571336,0.6092163661581137,0.31343680337445895,0.43691134574373064,0.26229753090211366,0.9471130899375018,0.04011537712452072,0.5133881286495778,0.26870564897767546
selected_kd,44,0.9563132417155209,0.05370755151069282,0.3739958777019872,0.2027531395333175,0.6491333585508343,0.36241333236483764,0.37935629243373625,0.2382535994649655,0.9677837090400278,0.029713804033454926,0.5608178136314763,0.2673144671638093
selected_supervised,43,0.9364618319918335,0.09373015942641198,0.4480708312508071,0.32509899272080706,0.6522800823771698,0.30904597931157984,0.3900096806383694,0.2032841826405793,0.9337479507984536,0.06790159379967949,0.5363038903443704,0.2778768084821426
selected_supervised,44,0.9433136923037356,0.08882582861355114,0.3967818601884553,0.21927735305779825,0.6702336821754298,0.3614856763867895,0.4239267800069163,0.27024915549337125,0.9335626403894105,0.07367613932154643,0.5977857047724282,0.319396590205766
teacher,43,0.9629747195086285,0.05519115165607139,0.6550237203222905,0.370615164943347,0.47517137393350983,0.30157949188401867,0.38661036491346185,0.2710081809956501,0.9632876569974155,0.030818544021620223,0.5897276537573768,0.2006097830995539
teacher,44,0.9629747195086285,0.05519115165607139,0.6550237203222905,0.370615164943347,0.47517137393350983,0.30157949188401867,0.38661036491346185,0.2710081809956501,0.9632876569974155,0.030818544021620223,0.5897276537573768,0.2006097830995539
