accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,windows,model,seed,test_patient,threshold
0.9921720070973802,0.9512195121951219,0.3482142857142857,0.5098039215686274,0.9970740989393962,0.8672290903030594,9467,2,73,39,9581,teacher,43,chb01,0.5
0.9901889155620499,0.5542168674698795,0.8214285714285714,0.6618705035971223,0.9865095499600198,0.8208718330699839,9395,74,20,92,9581,selected_supervised,43,chb01,0.5
0.9955119507358313,0.7899159663865546,0.8392857142857143,0.8138528138528138,0.9926706319870856,0.8744105958464686,9444,25,18,94,9581,selected_kd,43,chb01,0.5
0.9917545141425739,0.6,0.8839285714285714,0.7148014440433214,0.9890356501667094,0.8814757308309578,9403,66,13,99,9581,random_supervised,43,chb01,0.5
0.9921720070973802,0.9512195121951219,0.3482142857142857,0.5098039215686274,0.9970740989393962,0.8672290903030594,9467,2,73,39,9581,teacher,44,chb01,0.5
0.9937376056779041,0.6857142857142857,0.8571428571428571,0.7619047619047619,0.9873468687295385,0.875127541762442,9425,44,16,96,9581,selected_supervised,44,chb01,0.5
0.992485126813485,0.6388888888888888,0.8214285714285714,0.71875,0.9959529592806602,0.825655828530967,9417,52,20,92,9581,selected_kd,44,chb01,0.5
0.9903976620394531,0.5602409638554217,0.8303571428571429,0.6690647482014388,0.9902887995413605,0.8201107927890534,9396,73,19,93,9581,random_supervised,44,chb01,0.5
0.99272920730626,0.5238095238095238,0.75,0.616822429906542,0.9713258591274677,0.5917894203353042,5565,30,11,33,5639,teacher,43,chb02,0.5
0.9872317786841639,0.34782608695652173,0.7272727272727273,0.47058823529411764,0.983440978146072,0.3993843555960422,5535,60,12,32,5639,selected_supervised,43,chb02,0.5
0.9898918247916297,0.410958904109589,0.6818181818181818,0.5128205128205128,0.9750426517182549,0.334433242441805,5552,43,14,30,5639,selected_kd,43,chb02,0.5
0.9888278063486434,0.35384615384615387,0.5227272727272727,0.42201834862385323,0.952364123811845,0.24016984139187314,5553,42,21,23,5639,random_supervised,43,chb02,0.5
0.99272920730626,0.5238095238095238,0.75,0.616822429906542,0.9713258591274677,0.5917894203353042,5565,30,11,33,5639,teacher,44,chb02,0.5
