seed,test_patient,accuracy,precision,recall,f1,average_precision,roc_auc,comparison
43,chb01,-0.0015655985805239636,-0.04578313253012045,-0.0625,-0.05293094044619906,-0.06060389776097386,-0.00252610020668953,selection_effect
44,chb01,0.003339943638451026,0.12547332185886406,0.02678571428571419,0.09284001370332307,0.055016748973388596,-0.0029419308118220355,selection_effect
43,chb02,-0.0015960276644795268,-0.006020066889632136,0.20454545454545459,0.048569886670264406,0.15921451420416904,0.031076854334227022,selection_effect
44,chb02,0.001773364071643968,0.08203786362936744,0.2954545454545454,0.14202172096908938,0.3761936867474097,0.05290437890974087,selection_effect
43,chb03,0.0015151515151515804,0.4411764705882353,0.029126213592232997,0.06511627906976744,0.01229514124041925,-0.10874242263581779,selection_effect
44,chb03,0.0,0.021505376344086058,0.01941747572815533,0.025717566016073473,-0.057346208078403876,0.10872755777229215,selection_effect
43,chb05,-0.08318933596642808,-0.03202646398538868,0.04285714285714293,-0.05335110769501758,-0.009395587738781463,0.003047511393404423,selection_effect
44,chb05,-0.05825722043939774,-0.023917528956932776,0.014285714285714346,-0.040238188048518336,-0.004748111620232254,0.010248232676642544,selection_effect
43,chb08,0.015555555555555545,0.07197151369813243,0.04329004329004327,0.07297724721967147,0.10996726692604758,0.03829481881879315,selection_effect
44,chb08,0.00952380952380949,0.07360128075497135,-0.017316017316017285,0.041601920933024616,-0.007640918710020872,-0.018280039288442795,selection_effect
43,chb01,0.00532303517378141,0.23569909891667506,0.017857142857142905,0.15198231025569153,0.05353876277648473,0.0061610820270657785,kd_effect
44,chb01,-0.0012524788644191487,-0.04682539682539688,-0.0357142857142857,-0.04315476190476186,-0.049471713231475034,0.008606090551121715,kd_effect
43,chb02,0.002660046107465841,0.06313281715306729,-0.045454545454545525,0.042232277526395134,-0.06495111315423718,-0.008398326427817127,kd_effect
44,chb02,-0.01170420287284979,-0.1931691346082298,-0.045454545454545414,-0.20697898592635433,-0.19390869040633835,0.0023174100251848184,kd_effect
43,chb03,-0.00060606060606061,-0.09502262443438914,-0.04854368932038834,-0.07701149425287357,-0.0009642301104988982,0.05939206672143549,kd_effect
44,chb03,0.0007070707070706561,0.08266129032258063,-0.038834951456310676,-0.04653204565408253,0.10617079911324706,0.11055890895865683,kd_effect
43,chb05,0.09108862009380403,0.03405144564690679,-0.07857142857142863,0.05589276966649587,-0.1252641786430274,-0.0194755445509025,kd_effect
44,chb05,0.07677116761293512,0.03640020479894922,-0.0071428571428572285,0.060751091135304386,-0.06081899525353307,-0.005084867405892202,kd_effect
43,chb08,0.01777777777777778,0.11550615103584999,-0.06060606060606066,0.061412462331097484,0.02306195065731592,0.029146417925459134,kd_effect
44,chb08,0.0004761904761904079,0.007003123879756212,0.02164502164502169,0.013062264483994501,0.013189144073339876,0.05470780112401474,kd_effect
43,chb01,-0.003339943638451137,0.16130354580856732,-0.4910714285714286,-0.3040488922841864,-0.007181505543409239,0.004403466952310642,teacher_minus_kd
44,chb01,-0.0003131197161048149,0.31233062330623307,-0.4732142857142857,-0.20894607843137258,0.04157326177209242,0.001121139658736059,teacher_minus_kd
43,chb02,0.0028373825146302822,0.11285061969993482,0.06818181818181823,0.10400191708602924,0.25735617789349924,-0.0037167925907871657,teacher_minus_kd
44,chb02,0.0141869125731513,0.27877641122674235,-0.09090909090909094,0.23733525041936254,0.17735963579215136,-0.010051588268746414,teacher_minus_kd
43,chb03,-0.0007070707070707671,0.15384615384615385,-0.08737864077669902,-0.151559934318555,0.2058860544740727,0.08737467681309219,teacher_minus_kd
44,chb03,0.00040404040404040664,0.5625,-0.04854368932038835,-0.07955182072829131,0.24169807338227545,0.036504140855482925,teacher_minus_kd
43,chb05,0.0008639842014317445,-0.015203119176629101,-0.16428571428571426,-0.027991705143040446,-0.40019818815870045,-0.03354415617038087,teacher_minus_kd
44,chb05,0.001727968402863489,-0.022948955422766856,-0.2571428571428571,-0.04242239549987559,-0.5287031914520357,-0.06637420605016697,teacher_minus_kd
43,chb08,0.01666666666666672,0.2686003568612806,0.0043290043290044045,0.12809371050840873,0.3258350868735319,0.02635564029533377,teacher_minus_kd
44,chb08,0.017301587301587373,0.27448113399130825,0.0,0.12985540663880485,0.21262142113501842,0.016320253591632805,teacher_minus_kd
