model,rank,feature
random_supervised,22,freq__gamma__C3-P3
random_supervised,23,freq__alpha__CZ-PZ
random_supervised,24,freq__beta__F4-C4
random_supervised,25,freq__beta__FP1-F3
random_supervised,26,freq__gamma__FP1-F3
random_supervised,27,freq__alpha__FP1-F7
random_supervised,28,freq__beta__FP1-F7
random_supervised,29,freq__beta__FP2-F8
random_supervised,30,freq__beta__FT10-T8
random_supervised,31,freq__gamma__FZ-CZ
random_supervised,32,freq__delta__P3-O1
random_supervised,33,freq__beta__P3-O1
random_supervised,34,freq__theta__P4-O2
random_supervised,35,freq__beta__P4-O2
random_supervised,36,freq__theta__T7-FT9
random_supervised,37,freq__alpha__T8-P8
random_supervised,38,entropy__spectral__C4-P4
random_supervised,39,entropy__perm__CZ-PZ
random_supervised,40,entropy__spectral__F4-C4
random_supervised,41,entropy__perm__FP1-F3
random_supervised,42,hjorth__activity__F8-T8
random_supervised,43,hjorth__activity__FP1-F7
random_supervised,44,hjorth__complexity__FP2-F4
random_supervised,45,hjorth__mobility__FP2-F8
random_supervised,46,hjorth__activity__FT10-T8
random_supervised,47,hjorth__activity__FZ-CZ
random_supervised,48,hjorth__complexity__FZ-CZ
random_supervised,49,hjorth__mobility__P3-O1
random_supervised,50,hjorth__mobility__P4-O2
