dose,scale,trials,valid,mean,median,median_within_sd,mean_delta,median_delta,mean_abs_delta,split_mean0,split_mean1,paired_valid,complete_contexts,rank_median,rank_min,rank_max,split_rank,split_mae,effect_split_rank,effect_split_sign_agreement
0.25,0.0,1800,1800,0.8317051741494,0.8424293419812661,0.5090634335217042,0.0,0.0,0.0,0.9755233263668168,0.6878870219319833,1800,90,,,,,,,
0.25,0.175,1800,1800,0.8110060014686568,0.818340372717771,0.49900797521512497,-0.020699172680743234,0.0,0.09215646865812853,0.9108997559041145,0.7111122470331991,1800,90,-0.015340044168680744,-0.4164403419033817,0.4022708302994962,-0.3505535662839034,0.20676011072851988,-0.3505535662839034,0.3888888888888889
0.25,0.35,1800,1800,0.8030597706920962,0.7879887998229598,0.48813343937280895,-0.028645403457303653,0.0,0.14338545046661405,0.8773510931273967,0.728768448256796,1800,90,-0.0073204990708227845,-0.5254551975519898,0.37362813424695307,-0.3761698975182121,0.16836624991423976,-0.3761698975182121,0.3333333333333333
0.25,0.7,1800,1800,0.8036231579929743,0.775507244881902,0.4693499127255233,-0.028082016156425634,-0.0041013209761194686,0.19960567333428805,0.8694233770738222,0.7378229389121265,1800,90,0.032451808570519255,-0.37840999465591785,0.39143129037074115,-0.1751574268428201,0.14738485354105216,-0.1751574268428201,0.26666666666666666
0.5,0.0,1800,1800,0.761601834449156,0.6381225440031455,0.4533727228334017,0.0,0.0,0.0,0.7495782709110144,0.7736253979872976,1800,90,,,,,,,
0.5,0.175,1800,1800,0.7673691793888074,0.655280757217913,0.45855396530038983,0.005767344939651446,0.0,0.054282082655646914,0.7702839353293786,0.7644544234482361,1800,90,0.011276751140451992,-0.3156315203775587,0.6118059802580689,0.3089517224348685,0.051182607975576805,0.3089517224348685,0.6111111111111112
0.5,0.35,1800,1800,0.7696691023625625,0.6543389670350199,0.45775797458057543,0.008067267913406522,0.0,0.09891769969951203,0.778376818878252,0.7609613858468728,1800,90,0.010256082435651254,-0.46004370062572514,0.4860617459176407,0.16057126394205046,0.07728095459616381,0.16057126394205046,0.4777777777777778
0.5,0.7,1800,1800,0.7795405618609885,0.6571567104521086,0.45499131455118674,0.017938727411832552,0.0,0.16816584227410747,0.800381540654296,0.7586995830676808,1800,90,0.007830909842597104,-0.36213876284540486,0.42717049669785756,-0.03894307939251759,0.10342138205576773,-0.03894307939251759,0.5222222222222223
1.0,0.0,1800,1800,0.9132876867407521,0.909735547811469,0.578891225332855,0.0,0.0,0.0,0.9384291302608627,0.8881462432206411,1800,90,,,,,,,
1.0,0.175,1800,1800,0.9011108359088649,0.9244954663863411,0.5776052671523955,-0.0121768508318872,0.0,0.026438259322794023,0.9214509047939266,0.880770767023803,1800,90,-0.005329585162527453,-0.4592358513012798,0.5773138237602304,0.10080177150117288,0.05902960588572331,0.10080177150117288,0.5222222222222223
1.0,0.35,1800,1800,0.8907472450328243,0.8460001481744026,0.5775081252379419,-0.022540441707927725,0.0,0.057627128325324746,0.9187659412593444,0.8627285488063039,1800,90,0.007618177997320803,-0.339072686680291,0.4490369777308724,0.24535539367000042,0.07507538512672604,0.24535539367000042,0.6555555555555556
1.0,0.7,1800,1800,0.9015179467494171,0.8498114882228138,0.562695980871559,-0.011769739991335024,0.0,0.11758228923582187,0.922174007055372,0.8808618864434621,1800,90,0.006751294004627928,-0.2628126638855026,0.3209899967845976,0.28424085278017863,0.08118658285852257,0.28424085278017863,0.5666666666666667
