model,rank,feature
selected_supervised,1,freq__alpha__FT9-FT10
selected_supervised,2,freq__theta__FT9-FT10
selected_supervised,3,freq__delta__C4-P4
selected_supervised,4,hjorth__activity__T8-P8
selected_supervised,5,hjorth__mobility__T7-FT9
selected_supervised,6,freq__delta__T8-P8
selected_supervised,7,time__std__P3-O1
selected_supervised,8,time__std__FP2-F4
selected_supervised,9,time__rms__F7-T7
selected_supervised,10,time__rms__C3-P3
selected_supervised,11,hjorth__mobility__FT10-T8
selected_supervised,12,freq__alpha__C4-P4
selected_supervised,13,freq__theta__FP1-F3
selected_supervised,14,time__line_length__FT9-FT10
selected_supervised,15,freq__theta__F8-T8
selected_supervised,16,freq__theta__FZ-CZ
selected_supervised,17,time__rms__P3-O1
selected_supervised,18,freq__delta__P3-O1
selected_supervised,19,entropy__spectral__C4-P4
selected_supervised,20,freq__beta__FT9-FT10
selected_supervised,21,time__mean__C3-P3
selected_supervised,22,freq__alpha__T8-P8
selected_supervised,23,time__rms__P4-O2
selected_supervised,24,time__line_length__FT10-T8
selected_supervised,25,freq__gamma__C3-P3
selected_supervised,26,freq__delta__CZ-PZ
selected_supervised,27,time__rms__F8-T8
selected_supervised,28,time__rms__CZ-PZ
selected_supervised,29,hjorth__activity__P8-O2
selected_supervised,30,time__std__FT9-FT10
selected_supervised,31,freq__alpha__P3-O1
selected_supervised,32,time__line_length__C3-P3
selected_supervised,33,time__std__FP1-F3
selected_supervised,34,freq__delta__F7-T7
selected_supervised,35,time__ptp__F3-C3
selected_supervised,36,freq__delta__FP2-F4
selected_supervised,37,freq__delta__F8-T8
selected_supervised,38,freq__theta__C3-P3
selected_supervised,39,freq__theta__FP2-F4
selected_supervised,40,hjorth__mobility__FT9-FT10
selected_supervised,41,time__line_length__T7-FT9
selected_supervised,42,time__rms__T7-FT9
selected_supervised,43,time__line_length__FZ-CZ
selected_supervised,44,hjorth__complexity__FT9-FT10
selected_supervised,45,time__ptp__F4-C4
selected_supervised,46,freq__gamma__FT9-FT10
selected_supervised,47,freq__theta__C4-P4
selected_supervised,48,time__ptp__FZ-CZ
