model,f1_mean_mean,f1_mean_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std
random_supervised,0.36580884746428516,0.01205744192234557,0.19545545906795028,0.004365750474662805,0.6031746031746031,0.02494640261190752,0.29509027762565276,0.001872880846214826,0.35426308625577607,0.05583439278925578,0.8955114475195725,0.022622196989586896
selected_kd,0.41520906765500093,0.031278162784960435,0.2227050903175295,0.005506836728694031,0.6164021164021164,0.012329291214530198,0.3271114694035587,0.004342324518986987,0.394660156522,0.042211367899830494,0.9184261585603765,0.013935716512759726
selected_supervised,0.39733920924210014,0.023785427225563538,0.16263416263330058,0.006841384353289506,0.6645502645502646,0.03152036192297671,0.26121583099716855,0.009342906575383569,0.4103347315985624,0.028059441214803582,0.8943154887745034,0.0052035974366651675
teacher,0.38661036491346185,0.0,0.2083623693379791,0.0,0.4746031746031745,0.0,0.28958837772397095,0.0,0.32865100761813887,0.0,0.9344101043345102,0.0
