feature,importance
freq__alpha__FT9-FT10,0.18080011
freq__theta__FT9-FT10,0.11473675
freq__delta__C4-P4,0.027551886
hjorth__activity__T8-P8,0.026411768
hjorth__mobility__T7-FT9,0.02566095
freq__delta__T8-P8,0.018590903
time__std__P3-O1,0.017367983
time__std__FP2-F4,0.016317679
time__rms__F7-T7,0.015812382
time__rms__C3-P3,0.014818454
hjorth__mobility__FT10-T8,0.013135929
freq__alpha__C4-P4,0.012477349
freq__theta__FP1-F3,0.012276545
time__line_length__FT9-FT10,0.011740467
freq__theta__F8-T8,0.011379535
freq__theta__FZ-CZ,0.011115343
time__rms__P3-O1,0.010636275
freq__delta__P3-O1,0.008838057
entropy__spectral__C4-P4,0.008403564
freq__beta__FT9-FT10,0.0076001203
time__mean__C3-P3,0.007525575
freq__alpha__T8-P8,0.007133377
time__rms__P4-O2,0.0070525706
time__line_length__FT10-T8,0.0067627006
freq__gamma__C3-P3,0.0066427803
freq__delta__CZ-PZ,0.00662703
time__rms__F8-T8,0.006414996
time__rms__CZ-PZ,0.0061441637
hjorth__activity__P8-O2,0.00611107
time__std__FT9-FT10,0.006000036
freq__alpha__P3-O1,0.005838625
time__line_length__C3-P3,0.0058316933
time__std__FP1-F3,0.0056408164
freq__delta__F7-T7,0.0055886353
time__ptp__F3-C3,0.0053952844
freq__delta__FP2-F4,0.005354319
freq__delta__F8-T8,0.005168179
freq__theta__C3-P3,0.005165815
freq__theta__FP2-F4,0.0047221035
hjorth__mobility__FT9-FT10,0.0046812906
time__line_length__T7-FT9,0.004510736
time__rms__T7-FT9,0.0045002797
time__line_length__FZ-CZ,0.004434223
hjorth__complexity__FT9-FT10,0.004187576
time__ptp__F4-C4,0.0041631497
freq__gamma__FT9-FT10,0.004143282
freq__theta__C4-P4,0.0040592635
time__ptp__FZ-CZ,0.004014573
time__std__T8-P8,0.0039822594
hjorth__complexity__FP2-F4,0.0038269055
entropy__spectral__CZ-PZ,0.0038102136
freq__beta__FT10-T8,0.0037156786
entropy__perm__P4-O2,0.003715223
time__std__CZ-PZ,0.0036080133
time__rms__P8-O2,0.0035634066
time__std__FP2-F8,0.0035216892
freq__alpha__F7-T7,0.0033336945
time__std__F7-T7,0.003226876
time__std__P4-O2,0.0032100254
time__line_length__C4-P4,0.003171632
freq__alpha__P7-O1,0.003119494
time__ptp__P3-O1,0.0031102854
hjorth__complexity__CZ-PZ,0.0029946784
freq__beta__FP2-F4,0.0029012433
time__std__FP1-F7,0.0028982519
hjorth__activity__CZ-PZ,0.0028294486
time__rms__FZ-CZ,0.0028031815
freq__beta__T7-P7,0.0027934785
entropy__perm__CZ-PZ,0.0027740453
freq__theta__P7-T7,0.0027650304
freq__gamma__CZ-PZ,0.0027066173
freq__beta__F3-C3,0.0026444031
freq__alpha__FP1-F7,0.0026098234
freq__alpha__FP2-F8,0.0025739144
