patient_a,patient_b,intersection,jaccard
chb01,chb02,23,0.2987012987012987
chb01,chb03,19,0.2345679012345679
chb01,chb05,19,0.2345679012345679
chb01,chb08,15,0.17647058823529413
chb02,chb03,23,0.2987012987012987
chb02,chb05,15,0.17647058823529413
chb02,chb08,16,0.19047619047619047
chb03,chb05,13,0.14942528735632185
chb03,chb08,12,0.13636363636363635
chb05,chb08,10,0.1111111111111111
