feature,importance
time__rms__CZ-PZ,0.1501602
time__std__CZ-PZ,0.08190519
hjorth__activity__CZ-PZ,0.07678985
freq__theta__FT10-T8,0.056733247
freq__theta__FT9-FT10,0.043036543
time__line_length__FT10-T8,0.041748926
hjorth__activity__FT9-FT10,0.017368577
time__line_length__P8-O2,0.016647423
time__rms__FT9-FT10,0.015714088
time__rms__FP2-F4,0.012672935
freq__alpha__FT9-FT10,0.012488275
freq__theta__FP2-F4,0.012373695
time__rms__F3-C3,0.01079226
freq__delta__P4-O2,0.010633063
hjorth__mobility__FT9-FT10,0.010575373
freq__delta__P7-T7,0.009394622
freq__delta__P8-O2,0.008545608
freq__theta__F8-T8,0.008316959
hjorth__mobility__CZ-PZ,0.008072763
time__ptp__P4-O2,0.007745223
time__std__P4-O2,0.007440175
time__line_length__T8-P8,0.0069298553
freq__gamma__FP1-F3,0.006296364
time__rms__P4-O2,0.0059763957
freq__delta__F8-T8,0.0058407844
time__std__FP2-F4,0.00518172
freq__beta__CZ-PZ,0.0048904237
entropy__perm__T7-P7,0.0048617856
time__std__F3-C3,0.0048315777
time__line_length__FT9-FT10,0.004811078
entropy__spectral__FT9-FT10,0.0047113085
freq__delta__T7-P7,0.004547581
hjorth__complexity__C3-P3,0.0045091743
freq__beta__P7-O1,0.0044041662
freq__beta__F4-C4,0.004189284
hjorth__activity__F8-T8,0.003902417
freq__gamma__F3-C3,0.0037040017
time__line_length__FZ-CZ,0.0036770997
time__line_length__P7-T7,0.0036629436
entropy__spectral__CZ-PZ,0.0034955193
freq__beta__FT9-FT10,0.003275422
hjorth__complexity__FT10-T8,0.003268441
freq__theta__FZ-CZ,0.0032582767
time__ptp__F4-C4,0.003234911
freq__theta__T8-P8,0.003038067
freq__gamma__P7-O1,0.003021456
hjorth__activity__FP1-F3,0.0029980298
hjorth__mobility__FT10-T8,0.0029776138
time__ptp__FP2-F4,0.0029534178
time__line_length__FP1-F7,0.002931961
time__rms__P7-T7,0.002901555
freq__beta__F3-C3,0.0028753928
time__rms__T8-P8,0.002868663
hjorth__complexity__FT9-FT10,0.002852371
time__std__FZ-CZ,0.002839393
hjorth__complexity__FP2-F4,0.0027348453
freq__gamma__C4-P4,0.0027198028
entropy__spectral__P4-O2,0.0027189078
hjorth__complexity__T7-FT9,0.0026607828
freq__theta__F4-C4,0.0026437882
freq__gamma__FZ-CZ,0.002603404
freq__theta__F3-C3,0.0026028848
hjorth__mobility__P4-O2,0.002582298
time__rms__FZ-CZ,0.0025103583
time__line_length__C3-P3,0.0024976926
time__std__T7-FT9,0.0024556047
time__std__FT10-T8,0.0024485418
freq__gamma__P8-O2,0.0024216434
time__std__F7-T7,0.002407682
time__mean__C4-P4,0.0024003147
time__mean__C3-P3,0.0023557066
freq__gamma__FT9-FT10,0.0023232594
hjorth__mobility__F8-T8,0.0021931545
hjorth__activity__P4-O2,0.0021472748
freq__theta__C3-P3,0.0020913305
hjorth__complexity__C4-P4,0.0020597419
hjorth__mobility__F4-C4,0.0020450407
freq__gamma__T8-P8,0.0019978469
entropy__perm__FP1-F3,0.0019878012
freq__alpha__F4-C4,0.0019728637
entropy__perm__F7-T7,0.0019723764
entropy__perm__T7-FT9,0.001957958
freq__beta__P3-O1,0.001937281
hjorth__complexity__FP2-F8,0.0019053138
time__mean__F4-C4,0.0019050323
time__ptp__P7-T7,0.0019006054
hjorth__complexity__P3-O1,0.0018887328
time__line_length__FP1-F3,0.0018323243
freq__theta__CZ-PZ,0.0018301854
entropy__spectral__C4-P4,0.001822708
time__ptp__T7-FT9,0.001796598
freq__delta__FT10-T8,0.001752005
hjorth__mobility__C4-P4,0.0017362898
freq__delta__T8-P8,0.0017000812
entropy__spectral__T7-FT9,0.0016983608
hjorth__mobility__F3-C3,0.0016721264
time__mean__P7-T7,0.0016670232
freq__delta__C3-P3,0.0016498287
entropy__perm__CZ-PZ,0.0016406231
hjorth__complexity__P4-O2,0.0016371667
hjorth__complexity__FZ-CZ,0.0016080821
time__std__P7-T7,0.001602321
freq__delta__F3-C3,0.001589037
freq__alpha__P7-O1,0.0015520101
time__ptp__T8-P8,0.0015237689
freq__delta__CZ-PZ,0.0015147636
freq__gamma__F8-T8,0.0015086975
time__line_length__P7-O1,0.0014959772
hjorth__complexity__F7-T7,0.0014948508
time__ptp__FZ-CZ,0.001408731
time__rms__T7-FT9,0.001406492
freq__alpha__T7-P7,0.0014018457
freq__beta__P7-T7,0.001392767
entropy__perm__F3-C3,0.0013861373
time__line_length__T7-P7,0.0013456848
time__rms__P3-O1,0.0013339793
hjorth__activity__F4-C4,0.0013242076
time__rms__P7-O1,0.0013037837
time__ptp__FT10-T8,0.0013016927
time__line_length__P4-O2,0.0012926508
freq__delta__F4-C4,0.0012809456
