feature,importance
entropy__perm__CZ-PZ,0.0009789282
entropy__spectral__P7-T7,0.0009569178
time__mean__P7-T7,0.0009423107
time__rms__F7-T7,0.00094002066
freq__theta__P8-O2,0.0009369714
freq__gamma__P7-T7,0.0009359257
freq__theta__C3-P3,0.0009302766
hjorth__complexity__F8-T8,0.00092864677
freq__beta__C3-P3,0.00092286296
freq__gamma__FP2-F8,0.000914102
freq__delta__C3-P3,0.00091129966
freq__delta__FZ-CZ,0.0009047808
freq__theta__P3-O1,0.00090156123
entropy__perm__FP2-F4,0.0008816065
time__line_length__F3-C3,0.00088022166
entropy__perm__C3-P3,0.0008771451
freq__gamma__C4-P4,0.00087514345
time__ptp__P4-O2,0.0008737596
entropy__perm__P4-O2,0.0008642628
freq__alpha__P4-O2,0.0008641353
hjorth__complexity__P4-O2,0.00084371935
time__mean__FP2-F8,0.00083571306
time__mean__FT10-T8,0.0008237022
hjorth__complexity__P3-O1,0.00081743393
entropy__perm__FT10-T8,0.00081625156
time__ptp__P7-T7,0.0008122341
time__line_length__FT10-T8,0.0008076215
freq__delta__FP2-F4,0.0007961861
time__rms__F3-C3,0.0007949803
freq__delta__F4-C4,0.00078922376
hjorth__activity__T7-FT9,0.00078807765
hjorth__complexity__T7-P7,0.0007707422
hjorth__mobility__P7-T7,0.00076924753
time__mean__P8-O2,0.0007582349
hjorth__complexity__T7-FT9,0.0007547241
freq__alpha__F8-T8,0.0007545335
time__mean__F3-C3,0.00075445016
freq__theta__FP2-F8,0.0007437584
entropy__spectral__P7-O1,0.0007426867
entropy__spectral__FT10-T8,0.00073625817
freq__beta__F7-T7,0.0007226575
entropy__spectral__FP2-F4,0.00071531394
entropy__perm__C4-P4,0.0007003531
freq__alpha__FP1-F3,0.00069015013
freq__beta__FP1-F7,0.00068743736
time__std__P7-O1,0.0006861592
freq__beta__P7-T7,0.00066024077
hjorth__mobility__FT10-T8,0.00065903954
freq__delta__F7-T7,0.0006584935
time__line_length__CZ-PZ,0.00065566215
