model,rank,feature
random_supervised,31,freq__theta__T7-P7
random_supervised,32,freq__beta__T8-P8
random_supervised,33,entropy__spectral__CZ-PZ
random_supervised,34,entropy__perm__F4-C4
random_supervised,35,entropy__spectral__F4-C4
random_supervised,36,entropy__perm__FP1-F3
random_supervised,37,entropy__spectral__FP1-F3
random_supervised,38,entropy__spectral__FT10-T8
random_supervised,39,entropy__spectral__P7-T7
random_supervised,40,entropy__perm__P8-O2
random_supervised,41,hjorth__mobility__C3-P3
random_supervised,42,hjorth__mobility__F3-C3
random_supervised,43,hjorth__activity__F7-T7
random_supervised,44,hjorth__mobility__F7-T7
random_supervised,45,hjorth__complexity__F7-T7
random_supervised,46,hjorth__activity__FP1-F3
random_supervised,47,hjorth__activity__FT9-FT10
random_supervised,48,hjorth__mobility__FZ-CZ
random_supervised,49,hjorth__activity__P3-O1
random_supervised,50,hjorth__complexity__P7-O1
