patient,changed_predictions,mean_abs_probability_change
chb01,8.0,0.004224516279941912
chb02,119.0,0.01918667298508783
chb03,0.0,0.0005545883922980778
chb05,32.0,0.010092743198665976
chb08,7.0,0.004711704623067986
