feature,coefficient,model,test_patient
time__mean__C3-P3,-0.01460572759596365,canonical330,chb01
time__std__C3-P3,0.3010179260983662,canonical330,chb01
time__rms__C3-P3,0.35141789368580295,canonical330,chb01
time__ptp__C3-P3,-0.6601007339485714,canonical330,chb01
time__line_length__C3-P3,1.6314969080682198,canonical330,chb01
time__mean__C4-P4,0.03835542815348566,canonical330,chb01
time__std__C4-P4,0.9244007048145421,canonical330,chb01
time__rms__C4-P4,0.8852158523131464,canonical330,chb01
time__ptp__C4-P4,0.24532668537332036,canonical330,chb01
time__line_length__C4-P4,-0.2826497145132991,canonical330,chb01
time__mean__CZ-PZ,0.05247871022544115,canonical330,chb01
time__std__CZ-PZ,0.9909223552842269,canonical330,chb01
time__rms__CZ-PZ,1.0336566032855814,canonical330,chb01
time__ptp__CZ-PZ,-0.843385005558914,canonical330,chb01
time__line_length__CZ-PZ,-0.3676419488016302,canonical330,chb01
time__mean__F3-C3,-0.057312871000266774,canonical330,chb01
time__std__F3-C3,-1.5125128586886591,canonical330,chb01
time__rms__F3-C3,-1.5532043556567976,canonical330,chb01
time__ptp__F3-C3,0.6943725954938686,canonical330,chb01
time__line_length__F3-C3,1.1641434404083357,canonical330,chb01
time__mean__F4-C4,0.011528853843608126,canonical330,chb01
time__std__F4-C4,-0.740109539023587,canonical330,chb01
time__rms__F4-C4,-0.48112633691721196,canonical330,chb01
time__ptp__F4-C4,0.44194113734494994,canonical330,chb01
time__line_length__F4-C4,-0.8305422633530909,canonical330,chb01
time__mean__F7-T7,-0.02289974028784622,canonical330,chb01
time__std__F7-T7,-0.6471060289684762,canonical330,chb01
time__rms__F7-T7,-0.6031862494671423,canonical330,chb01
time__ptp__F7-T7,-1.3248431180305453,canonical330,chb01
time__line_length__F7-T7,-1.0633166782918089,canonical330,chb01
time__mean__F8-T8,-0.022131528918959253,canonical330,chb01
time__std__F8-T8,-1.3541049419875524,canonical330,chb01
time__rms__F8-T8,-1.4348500893772445,canonical330,chb01
time__ptp__F8-T8,0.710157831546673,canonical330,chb01
time__line_length__F8-T8,-0.8370969787613074,canonical330,chb01
time__mean__FP1-F3,0.25582747652102655,canonical330,chb01
time__std__FP1-F3,0.08775269554543642,canonical330,chb01
time__rms__FP1-F3,0.12491548875742822,canonical330,chb01
time__ptp__FP1-F3,1.1535015158597177,canonical330,chb01
time__line_length__FP1-F3,-0.17224421057044392,canonical330,chb01
time__mean__FP1-F7,-0.23119852112818456,canonical330,chb01
time__std__FP1-F7,-0.5330835093587157,canonical330,chb01
time__rms__FP1-F7,-0.5484656133902752,canonical330,chb01
time__ptp__FP1-F7,-0.031660644841566284,canonical330,chb01
time__line_length__FP1-F7,1.644949760017428,canonical330,chb01
time__mean__FP2-F4,0.3045110618201118,canonical330,chb01
time__std__FP2-F4,0.039541780765796966,canonical330,chb01
time__rms__FP2-F4,0.25121575949355773,canonical330,chb01
time__ptp__FP2-F4,-0.8606999170066694,canonical330,chb01
time__line_length__FP2-F4,0.9715277691532536,canonical330,chb01
time__mean__FP2-F8,0.07120787527823663,canonical330,chb01
time__std__FP2-F8,-0.39676643328317923,canonical330,chb01
time__rms__FP2-F8,-0.20436406875340338,canonical330,chb01
time__ptp__FP2-F8,1.7863523447484584,canonical330,chb01
time__line_length__FP2-F8,-0.5561865779852749,canonical330,chb01
time__mean__FT10-T8,-0.06899570014137434,canonical330,chb01
time__std__FT10-T8,1.430310594536337,canonical330,chb01
time__rms__FT10-T8,1.3399418476168825,canonical330,chb01
time__ptp__FT10-T8,-0.884704967137906,canonical330,chb01
time__line_length__FT10-T8,1.2709208541025798,canonical330,chb01
time__mean__FT9-FT10,-0.3111407796439699,canonical330,chb01
time__std__FT9-FT10,0.2614607052823134,canonical330,chb01
time__rms__FT9-FT10,-0.08110521791687327,canonical330,chb01
time__ptp__FT9-FT10,-0.732648620939003,canonical330,chb01
time__line_length__FT9-FT10,5.329938004457798,canonical330,chb01
time__mean__FZ-CZ,0.08706065742148812,canonical330,chb01
time__std__FZ-CZ,0.4129677532458803,canonical330,chb01
time__rms__FZ-CZ,0.45255970016701585,canonical330,chb01
time__ptp__FZ-CZ,-0.8117029434501746,canonical330,chb01
time__line_length__FZ-CZ,0.14172756495385203,canonical330,chb01
time__mean__P3-O1,0.1532795614662098,canonical330,chb01
time__std__P3-O1,-1.6855291380546302,canonical330,chb01
time__rms__P3-O1,-1.7371996171654542,canonical330,chb01
time__ptp__P3-O1,1.3140373904474167,canonical330,chb01
time__line_length__P3-O1,-0.5313913232956061,canonical330,chb01
time__mean__P4-O2,-0.054236752742286336,canonical330,chb01
time__std__P4-O2,-0.0791883705951677,canonical330,chb01
time__rms__P4-O2,-0.16502704529583176,canonical330,chb01
time__ptp__P4-O2,0.15442453441229992,canonical330,chb01
time__line_length__P4-O2,-0.5410686345443749,canonical330,chb01
time__mean__P7-O1,0.04077348094328439,canonical330,chb01
time__std__P7-O1,1.085313848316465,canonical330,chb01
time__rms__P7-O1,0.94444841993858,canonical330,chb01
time__ptp__P7-O1,-2.389093943414361,canonical330,chb01
time__line_length__P7-O1,3.215150211132931,canonical330,chb01
time__mean__P7-T7,-0.09271895781880703,canonical330,chb01
time__std__P7-T7,1.1988922947595388,canonical330,chb01
time__rms__P7-T7,1.3575159677128665,canonical330,chb01
time__ptp__P7-T7,-0.10805163479573883,canonical330,chb01
time__line_length__P7-T7,-0.43834568576872246,canonical330,chb01
time__mean__P8-O2,-0.2868651484626737,canonical330,chb01
time__std__P8-O2,0.4766447923959875,canonical330,chb01
time__rms__P8-O2,0.41391936083378505,canonical330,chb01
time__ptp__P8-O2,-0.1328141495472014,canonical330,chb01
time__line_length__P8-O2,1.8032272195204768,canonical330,chb01
time__mean__T7-FT9,-0.19512205130105767,canonical330,chb01
time__std__T7-FT9,1.7241246374048158,canonical330,chb01
time__rms__T7-FT9,1.6690208634755948,canonical330,chb01
time__ptp__T7-FT9,-0.6882291894050464,canonical330,chb01
time__line_length__T7-FT9,-0.30348788904717766,canonical330,chb01
time__mean__T7-P7,0.09271895781881455,canonical330,chb01
time__std__T7-P7,1.198892294759529,canonical330,chb01
time__rms__T7-P7,1.35751596771282,canonical330,chb01
time__ptp__T7-P7,-0.1080516347955395,canonical330,chb01
time__line_length__T7-P7,-0.4383456857687228,canonical330,chb01
time__mean__T8-P8,-0.23615678697042922,canonical330,chb01
time__std__T8-P8,-0.15358886284801673,canonical330,chb01
time__rms__T8-P8,-0.2699454969091583,canonical330,chb01
time__ptp__T8-P8,-0.33479122729318134,canonical330,chb01
time__line_length__T8-P8,-0.08122560785330273,canonical330,chb01
freq__delta__C3-P3,0.7721586326406741,canonical330,chb01
freq__theta__C3-P3,0.736100863723913,canonical330,chb01
freq__alpha__C3-P3,-0.08434848670178736,canonical330,chb01
freq__beta__C3-P3,-0.37402542332902305,canonical330,chb01
freq__gamma__C3-P3,-0.7471687775994121,canonical330,chb01
freq__delta__C4-P4,-1.1518877928868856,canonical330,chb01
freq__theta__C4-P4,-0.3695594526789749,canonical330,chb01
freq__alpha__C4-P4,-0.9270404532889633,canonical330,chb01
freq__beta__C4-P4,-1.5060339498833817,canonical330,chb01
freq__gamma__C4-P4,-0.44275301541193274,canonical330,chb01
freq__delta__CZ-PZ,-0.6783683212392967,canonical330,chb01
freq__theta__CZ-PZ,-0.6904564975024605,canonical330,chb01
freq__alpha__CZ-PZ,0.1269073491464845,canonical330,chb01
freq__beta__CZ-PZ,0.03402255445408485,canonical330,chb01
freq__gamma__CZ-PZ,-0.4333990940738323,canonical330,chb01
freq__delta__F3-C3,-0.022850710304393007,canonical330,chb01
freq__theta__F3-C3,-1.701158808521544,canonical330,chb01
freq__alpha__F3-C3,1.3362855631081707,canonical330,chb01
freq__beta__F3-C3,1.0513387479936007,canonical330,chb01
freq__gamma__F3-C3,-0.8091476483365374,canonical330,chb01
freq__delta__F4-C4,-0.9266044935572305,canonical330,chb01
freq__theta__F4-C4,0.7714968323705336,canonical330,chb01
freq__alpha__F4-C4,0.5875427729450601,canonical330,chb01
freq__beta__F4-C4,0.2797266584999814,canonical330,chb01
freq__gamma__F4-C4,0.4880371749470308,canonical330,chb01
freq__delta__F7-T7,0.8329917159382394,canonical330,chb01
freq__theta__F7-T7,-0.20365391571934358,canonical330,chb01
freq__alpha__F7-T7,1.517922535078736,canonical330,chb01
freq__beta__F7-T7,2.9493370710156355,canonical330,chb01
freq__gamma__F7-T7,0.08378932573555303,canonical330,chb01
freq__delta__F8-T8,1.1389897397502007,canonical330,chb01
freq__theta__F8-T8,1.8465353347686804,canonical330,chb01
freq__alpha__F8-T8,1.7311189237780669,canonical330,chb01
freq__beta__F8-T8,1.5085689215398355,canonical330,chb01
freq__gamma__F8-T8,0.6168892187897056,canonical330,chb01
freq__delta__FP1-F3,0.689512047544611,canonical330,chb01
freq__theta__FP1-F3,-0.2652090852891403,canonical330,chb01
freq__alpha__FP1-F3,-0.2618726980141391,canonical330,chb01
freq__beta__FP1-F3,-1.844133804385754,canonical330,chb01
freq__gamma__FP1-F3,0.13740189667028915,canonical330,chb01
freq__delta__FP1-F7,-1.3097204322531268,canonical330,chb01
freq__theta__FP1-F7,0.5311648982494857,canonical330,chb01
freq__alpha__FP1-F7,0.39908912235930877,canonical330,chb01
freq__beta__FP1-F7,-4.036170995915813,canonical330,chb01
freq__gamma__FP1-F7,-0.3014283606743994,canonical330,chb01
freq__delta__FP2-F4,1.3473804554323092,canonical330,chb01
freq__theta__FP2-F4,-0.450759600190271,canonical330,chb01
freq__alpha__FP2-F4,0.4056905225383189,canonical330,chb01
freq__beta__FP2-F4,1.3528348915538293,canonical330,chb01
freq__gamma__FP2-F4,-0.21374363303500354,canonical330,chb01
freq__delta__FP2-F8,-0.8995596601520403,canonical330,chb01
freq__theta__FP2-F8,0.027085267614806587,canonical330,chb01
freq__alpha__FP2-F8,-0.8306681467306929,canonical330,chb01
freq__beta__FP2-F8,-2.2599415400648217,canonical330,chb01
freq__gamma__FP2-F8,0.5408898224016284,canonical330,chb01
freq__delta__FT10-T8,-0.8142325318005164,canonical330,chb01
freq__theta__FT10-T8,-0.5766156221533619,canonical330,chb01
freq__alpha__FT10-T8,-2.6493761981425217,canonical330,chb01
freq__beta__FT10-T8,-1.3401386479260307,canonical330,chb01
freq__gamma__FT10-T8,0.7714693109267611,canonical330,chb01
freq__delta__FT9-FT10,1.4193364318506623,canonical330,chb01
freq__theta__FT9-FT10,1.4613454722725456,canonical330,chb01
freq__alpha__FT9-FT10,2.70158720010944,canonical330,chb01
freq__beta__FT9-FT10,-0.11588503037121106,canonical330,chb01
freq__gamma__FT9-FT10,1.2004977606742078,canonical330,chb01
freq__delta__FZ-CZ,0.6336699498569505,canonical330,chb01
freq__theta__FZ-CZ,-1.6617789675053487,canonical330,chb01
freq__alpha__FZ-CZ,-0.08437234103290726,canonical330,chb01
freq__beta__FZ-CZ,0.9144744336758293,canonical330,chb01
freq__gamma__FZ-CZ,0.37180597009301763,canonical330,chb01
freq__delta__P3-O1,1.9257527401928816,canonical330,chb01
freq__theta__P3-O1,-0.10483825649191415,canonical330,chb01
freq__alpha__P3-O1,0.703693545879722,canonical330,chb01
freq__beta__P3-O1,0.8217622583495169,canonical330,chb01
freq__gamma__P3-O1,0.1636928569659123,canonical330,chb01
freq__delta__P4-O2,0.4868620832445874,canonical330,chb01
freq__theta__P4-O2,1.9466293361545244,canonical330,chb01
freq__alpha__P4-O2,0.195911271626184,canonical330,chb01
freq__beta__P4-O2,0.33620208516921934,canonical330,chb01
freq__gamma__P4-O2,-1.9035695435356423,canonical330,chb01
freq__delta__P7-O1,1.1866834245296063,canonical330,chb01
freq__theta__P7-O1,0.39645068021610463,canonical330,chb01
freq__alpha__P7-O1,2.2678381645959553,canonical330,chb01
freq__beta__P7-O1,-0.17123515948560822,canonical330,chb01
freq__gamma__P7-O1,-0.06082028509331987,canonical330,chb01
freq__delta__P7-T7,-1.1979560021407876,canonical330,chb01
freq__theta__P7-T7,1.7754322545675967,canonical330,chb01
freq__alpha__P7-T7,0.14774203957855625,canonical330,chb01
freq__beta__P7-T7,-1.365538847221758,canonical330,chb01
freq__gamma__P7-T7,-0.5151118601641131,canonical330,chb01
freq__delta__P8-O2,-0.6858513527432197,canonical330,chb01
freq__theta__P8-O2,1.1602429493280941,canonical330,chb01
freq__alpha__P8-O2,0.3095511518236245,canonical330,chb01
freq__beta__P8-O2,-2.0953966739385157,canonical330,chb01
freq__gamma__P8-O2,0.8792286187853241,canonical330,chb01
freq__delta__T7-FT9,-0.2710377132837521,canonical330,chb01
freq__theta__T7-FT9,-0.8143759802416539,canonical330,chb01
freq__alpha__T7-FT9,-1.3057578392946896,canonical330,chb01
freq__beta__T7-FT9,-2.832331244694205,canonical330,chb01
freq__gamma__T7-FT9,-0.09440958914178603,canonical330,chb01
freq__delta__T7-P7,-1.1979560021407838,canonical330,chb01
freq__theta__T7-P7,1.775432254567604,canonical330,chb01
freq__alpha__T7-P7,0.14774203957855417,canonical330,chb01
freq__beta__T7-P7,-1.3655388472217516,canonical330,chb01
freq__gamma__T7-P7,-0.5151118601641022,canonical330,chb01
freq__delta__T8-P8,0.41202433425860235,canonical330,chb01
freq__theta__T8-P8,0.08548587162645316,canonical330,chb01
freq__alpha__T8-P8,0.23713961750393958,canonical330,chb01
freq__beta__T8-P8,-0.5115840140106512,canonical330,chb01
freq__gamma__T8-P8,-2.1536034857760518,canonical330,chb01
entropy__perm__C3-P3,-0.16210589593888824,canonical330,chb01
entropy__spectral__C3-P3,0.3172781814867431,canonical330,chb01
entropy__perm__C4-P4,-0.3486148777906372,canonical330,chb01
entropy__spectral__C4-P4,0.4189412049409123,canonical330,chb01
entropy__perm__CZ-PZ,-1.595672735116625,canonical330,chb01
entropy__spectral__CZ-PZ,-0.4563540341223435,canonical330,chb01
entropy__perm__F3-C3,0.6770436063192922,canonical330,chb01
entropy__spectral__F3-C3,0.3082512518855186,canonical330,chb01
entropy__perm__F4-C4,-0.47374583923563846,canonical330,chb01
entropy__spectral__F4-C4,-0.022855756417393413,canonical330,chb01
entropy__perm__F7-T7,-1.4496153582257054,canonical330,chb01
entropy__spectral__F7-T7,0.16431402625861938,canonical330,chb01
entropy__perm__F8-T8,0.7324830501667597,canonical330,chb01
entropy__spectral__F8-T8,-0.04290134299017613,canonical330,chb01
entropy__perm__FP1-F3,1.1900872907064022,canonical330,chb01
entropy__spectral__FP1-F3,1.0351342859554755,canonical330,chb01
entropy__perm__FP1-F7,-1.0528983528180949,canonical330,chb01
entropy__spectral__FP1-F7,-2.3028032699492877,canonical330,chb01
entropy__perm__FP2-F4,-0.6034358747094234,canonical330,chb01
entropy__spectral__FP2-F4,0.3974433693989426,canonical330,chb01
entropy__perm__FP2-F8,0.11238912709717494,canonical330,chb01
entropy__spectral__FP2-F8,0.937757553730645,canonical330,chb01
entropy__perm__FT10-T8,-0.2781216207793968,canonical330,chb01
entropy__spectral__FT10-T8,0.3036342110743212,canonical330,chb01
entropy__perm__FT9-FT10,0.08577571372660586,canonical330,chb01
entropy__spectral__FT9-FT10,0.5099896669283002,canonical330,chb01
entropy__perm__FZ-CZ,-0.03861046794836185,canonical330,chb01
entropy__spectral__FZ-CZ,-0.09274468610176344,canonical330,chb01
entropy__perm__P3-O1,-0.26004937899146696,canonical330,chb01
entropy__spectral__P3-O1,0.13105505115019087,canonical330,chb01
entropy__perm__P4-O2,-0.7438501202862521,canonical330,chb01
entropy__spectral__P4-O2,0.8884715248748701,canonical330,chb01
entropy__perm__P7-O1,0.6632424733577441,canonical330,chb01
entropy__spectral__P7-O1,1.318574564256737,canonical330,chb01
entropy__perm__P7-T7,0.3085303829585966,canonical330,chb01
entropy__spectral__P7-T7,-0.24307202502126846,canonical330,chb01
entropy__perm__P8-O2,0.8405883039210633,canonical330,chb01
entropy__spectral__P8-O2,1.289512889927188,canonical330,chb01
entropy__perm__T7-FT9,-0.2089720247658712,canonical330,chb01
entropy__spectral__T7-FT9,-0.12300968081495343,canonical330,chb01
entropy__perm__T7-P7,0.3085303829585842,canonical330,chb01
entropy__spectral__T7-P7,-0.24307202502124522,canonical330,chb01
entropy__perm__T8-P8,1.0368636023046272,canonical330,chb01
entropy__spectral__T8-P8,-1.4719868009233452,canonical330,chb01
hjorth__activity__C3-P3,-1.3544424262164396,canonical330,chb01
hjorth__mobility__C3-P3,0.4177668762388537,canonical330,chb01
hjorth__complexity__C3-P3,0.4466495230048266,canonical330,chb01
hjorth__activity__C4-P4,-1.2442731303002983,canonical330,chb01
hjorth__mobility__C4-P4,0.6314751741068305,canonical330,chb01
hjorth__complexity__C4-P4,0.11259602512813233,canonical330,chb01
hjorth__activity__CZ-PZ,0.8460886074528737,canonical330,chb01
hjorth__mobility__CZ-PZ,1.5890208845777907,canonical330,chb01
hjorth__complexity__CZ-PZ,-0.21739831918561786,canonical330,chb01
hjorth__activity__F3-C3,0.8078260836350144,canonical330,chb01
hjorth__mobility__F3-C3,-0.5675834198303226,canonical330,chb01
hjorth__complexity__F3-C3,0.4366317005870619,canonical330,chb01
hjorth__activity__F4-C4,1.4281919076981355,canonical330,chb01
hjorth__mobility__F4-C4,-0.1111407945940573,canonical330,chb01
hjorth__complexity__F4-C4,-0.024135836603243768,canonical330,chb01
hjorth__activity__F7-T7,-0.004027765310055002,canonical330,chb01
hjorth__mobility__F7-T7,0.3834054999866731,canonical330,chb01
hjorth__complexity__F7-T7,1.3843686561105542,canonical330,chb01
hjorth__activity__F8-T8,0.13728947857138618,canonical330,chb01
hjorth__mobility__F8-T8,-1.30107069184379,canonical330,chb01
hjorth__complexity__F8-T8,0.4363170021370372,canonical330,chb01
hjorth__activity__FP1-F3,0.2965308774961657,canonical330,chb01
hjorth__mobility__FP1-F3,0.03812842764449813,canonical330,chb01
hjorth__complexity__FP1-F3,-0.21219309239941678,canonical330,chb01
hjorth__activity__FP1-F7,0.04644558456269131,canonical330,chb01
hjorth__mobility__FP1-F7,1.4175833429749032,canonical330,chb01
hjorth__complexity__FP1-F7,-0.11344442985801392,canonical330,chb01
hjorth__activity__FP2-F4,0.0340176411237641,canonical330,chb01
hjorth__mobility__FP2-F4,-0.4193153927186222,canonical330,chb01
hjorth__complexity__FP2-F4,0.0027386250439499433,canonical330,chb01
hjorth__activity__FP2-F8,-0.9876311329245817,canonical330,chb01
hjorth__mobility__FP2-F8,-1.3954630506398693,canonical330,chb01
hjorth__complexity__FP2-F8,-0.49833186760214015,canonical330,chb01
hjorth__activity__FT10-T8,-2.0841179278582764,canonical330,chb01
hjorth__mobility__FT10-T8,-0.016449886032322267,canonical330,chb01
hjorth__complexity__FT10-T8,-0.11418752918950846,canonical330,chb01
hjorth__activity__FT9-FT10,-3.225412838328246,canonical330,chb01
hjorth__mobility__FT9-FT10,-2.6096015957207497,canonical330,chb01
hjorth__complexity__FT9-FT10,-0.052912162338943844,canonical330,chb01
hjorth__activity__FZ-CZ,0.4557298307127332,canonical330,chb01
hjorth__mobility__FZ-CZ,-0.5745756995217288,canonical330,chb01
hjorth__complexity__FZ-CZ,0.5224667479984523,canonical330,chb01
hjorth__activity__P3-O1,-1.7063021144467565,canonical330,chb01
hjorth__mobility__P3-O1,0.14130512218869848,canonical330,chb01
hjorth__complexity__P3-O1,0.48740392768519836,canonical330,chb01
hjorth__activity__P4-O2,-0.7312582347508909,canonical330,chb01
hjorth__mobility__P4-O2,-0.17996080159435696,canonical330,chb01
hjorth__complexity__P4-O2,0.529233050256611,canonical330,chb01
hjorth__activity__P7-O1,-2.1130694087319633,canonical330,chb01
hjorth__mobility__P7-O1,-3.1462930360909263,canonical330,chb01
hjorth__complexity__P7-O1,-0.24968231022885098,canonical330,chb01
hjorth__activity__P7-T7,-0.8803267661326041,canonical330,chb01
hjorth__mobility__P7-T7,0.750881023616818,canonical330,chb01
hjorth__complexity__P7-T7,0.36030095592550443,canonical330,chb01
hjorth__activity__P8-O2,-0.28813803859659765,canonical330,chb01
hjorth__mobility__P8-O2,-0.9826023683601085,canonical330,chb01
hjorth__complexity__P8-O2,0.2657795933660861,canonical330,chb01
hjorth__activity__T7-FT9,-1.6763852966073098,canonical330,chb01
hjorth__mobility__T7-FT9,1.1983457453310897,canonical330,chb01
hjorth__complexity__T7-FT9,-0.8195665935230633,canonical330,chb01
hjorth__activity__T7-P7,-0.8803267661326245,canonical330,chb01
hjorth__mobility__T7-P7,0.7508810236168275,canonical330,chb01
hjorth__complexity__T7-P7,0.3603009559254745,canonical330,chb01
hjorth__activity__T8-P8,-0.07978849535607317,canonical330,chb01
hjorth__mobility__T8-P8,1.5232907137290062,canonical330,chb01
hjorth__complexity__T8-P8,-0.5519341936708307,canonical330,chb01
time__mean__C3-P3,0.07223856529050862,canonical330,chb02
time__std__C3-P3,-0.39127900263817034,canonical330,chb02
time__rms__C3-P3,-0.2812486675868343,canonical330,chb02
time__ptp__C3-P3,0.12485340199228177,canonical330,chb02
time__line_length__C3-P3,1.057814162051964,canonical330,chb02
time__mean__C4-P4,-0.10034237217154846,canonical330,chb02
time__std__C4-P4,-0.1661266179202716,canonical330,chb02
time__rms__C4-P4,-0.1339410512575459,canonical330,chb02
time__ptp__C4-P4,0.04514111786687316,canonical330,chb02
time__line_length__C4-P4,-0.9340093180698319,canonical330,chb02
time__mean__CZ-PZ,0.09105296419346287,canonical330,chb02
time__std__CZ-PZ,0.7040901374349339,canonical330,chb02
time__rms__CZ-PZ,0.7394278563390704,canonical330,chb02
time__ptp__CZ-PZ,-0.7468892444146282,canonical330,chb02
time__line_length__CZ-PZ,0.06345780434067307,canonical330,chb02
time__mean__F3-C3,-0.21086826053986554,canonical330,chb02
time__std__F3-C3,-0.7221227741927604,canonical330,chb02
time__rms__F3-C3,-0.7487430809193939,canonical330,chb02
time__ptp__F3-C3,0.7708878032041722,canonical330,chb02
time__line_length__F3-C3,0.8169992044222114,canonical330,chb02
time__mean__F4-C4,-0.08352714550947071,canonical330,chb02
time__std__F4-C4,0.027836719328844215,canonical330,chb02
time__rms__F4-C4,0.1655940084034612,canonical330,chb02
time__ptp__F4-C4,0.5961474776619308,canonical330,chb02
time__line_length__F4-C4,0.30577547056155496,canonical330,chb02
time__mean__F7-T7,-0.02438709516317317,canonical330,chb02
time__std__F7-T7,-0.5189978544513203,canonical330,chb02
time__rms__F7-T7,-0.504911987369789,canonical330,chb02
time__ptp__F7-T7,-1.145112906763434,canonical330,chb02
time__line_length__F7-T7,-0.8271136241553878,canonical330,chb02
time__mean__F8-T8,0.20666153505733256,canonical330,chb02
time__std__F8-T8,-1.7092491209444185,canonical330,chb02
time__rms__F8-T8,-1.7487852845972114,canonical330,chb02
time__ptp__F8-T8,0.46895956284893353,canonical330,chb02
time__line_length__F8-T8,-0.25505338170922787,canonical330,chb02
time__mean__FP1-F3,0.20854897225792465,canonical330,chb02
time__std__FP1-F3,0.13293304709410178,canonical330,chb02
time__rms__FP1-F3,0.08450469290602233,canonical330,chb02
time__ptp__FP1-F3,0.9752059494473615,canonical330,chb02
time__line_length__FP1-F3,-0.5164698767286799,canonical330,chb02
time__mean__FP1-F7,-0.19557764013203502,canonical330,chb02
time__std__FP1-F7,0.3564540699639637,canonical330,chb02
time__rms__FP1-F7,0.3203466137539795,canonical330,chb02
time__ptp__FP1-F7,-0.5453333418504211,canonical330,chb02
time__line_length__FP1-F7,1.744116857842504,canonical330,chb02
time__mean__FP2-F4,0.1995205238481606,canonical330,chb02
time__std__FP2-F4,-1.2825829715302095,canonical330,chb02
time__rms__FP2-F4,-1.2863590173456039,canonical330,chb02
time__ptp__FP2-F4,0.10317487309814086,canonical330,chb02
time__line_length__FP2-F4,0.5411423924005193,canonical330,chb02
time__mean__FP2-F8,0.03816793833013555,canonical330,chb02
time__std__FP2-F8,-0.18391996689309822,canonical330,chb02
time__rms__FP2-F8,-0.16288936233355436,canonical330,chb02
time__ptp__FP2-F8,1.438811869055445,canonical330,chb02
time__line_length__FP2-F8,0.6717409749172135,canonical330,chb02
time__mean__FT10-T8,-0.4461744462578215,canonical330,chb02
time__std__FT10-T8,1.4268718780074305,canonical330,chb02
time__rms__FT10-T8,1.4165672601432664,canonical330,chb02
time__ptp__FT10-T8,-0.5976495090219368,canonical330,chb02
time__line_length__FT10-T8,2.1964452881151613,canonical330,chb02
time__mean__FT9-FT10,-0.46758722249227247,canonical330,chb02
time__std__FT9-FT10,0.5225602193499569,canonical330,chb02
time__rms__FT9-FT10,0.19786165335600384,canonical330,chb02
time__ptp__FT9-FT10,-1.7248928428992978,canonical330,chb02
time__line_length__FT9-FT10,5.277849592777517,canonical330,chb02
time__mean__FZ-CZ,0.14435689966657478,canonical330,chb02
time__std__FZ-CZ,0.6347369407115532,canonical330,chb02
time__rms__FZ-CZ,0.64703948858294,canonical330,chb02
time__ptp__FZ-CZ,-0.9098395077930707,canonical330,chb02
time__line_length__FZ-CZ,2.055457617483824,canonical330,chb02
time__mean__P3-O1,0.15715845472955933,canonical330,chb02
time__std__P3-O1,-2.1632807607931808,canonical330,chb02
time__rms__P3-O1,-2.2201316222043657,canonical330,chb02
time__ptp__P3-O1,1.0825555408435772,canonical330,chb02
time__line_length__P3-O1,-1.9909363895926389,canonical330,chb02
time__mean__P4-O2,-0.06995713193379409,canonical330,chb02
time__std__P4-O2,0.06542435590460825,canonical330,chb02
time__rms__P4-O2,-0.07164388490333139,canonical330,chb02
time__ptp__P4-O2,0.11114988510266022,canonical330,chb02
time__line_length__P4-O2,-0.3745789396259968,canonical330,chb02
time__mean__P7-O1,0.23835696566968265,canonical330,chb02
time__std__P7-O1,1.9681383104116,canonical330,chb02
time__rms__P7-O1,1.8721354070437142,canonical330,chb02
time__ptp__P7-O1,-2.0221913037660664,canonical330,chb02
time__line_length__P7-O1,2.701025435263872,canonical330,chb02
time__mean__P7-T7,-0.09044533174051335,canonical330,chb02
time__std__P7-T7,0.6006798972069904,canonical330,chb02
time__rms__P7-T7,0.7080276021955062,canonical330,chb02
time__ptp__P7-T7,0.10235689961976835,canonical330,chb02
time__line_length__P7-T7,-0.8257842474790048,canonical330,chb02
time__mean__P8-O2,-0.4153759165143794,canonical330,chb02
time__std__P8-O2,0.2923177232801833,canonical330,chb02
time__rms__P8-O2,0.18275733070904626,canonical330,chb02
time__ptp__P8-O2,-0.26510387463442564,canonical330,chb02
time__line_length__P8-O2,2.6908588714282766,canonical330,chb02
time__mean__T7-FT9,-0.4757921058781766,canonical330,chb02
time__std__T7-FT9,1.0307578466726395,canonical330,chb02
time__rms__T7-FT9,1.0284042052270348,canonical330,chb02
time__ptp__T7-FT9,-1.04951331809915,canonical330,chb02
time__line_length__T7-FT9,0.5366142466369456,canonical330,chb02
time__mean__T7-P7,0.0904453317404923,canonical330,chb02
time__std__T7-P7,0.6006798972069815,canonical330,chb02
time__rms__T7-P7,0.7080276021954954,canonical330,chb02
time__ptp__T7-P7,0.1023568996198361,canonical330,chb02
time__line_length__T7-P7,-0.8257842474790063,canonical330,chb02
time__mean__T8-P8,-0.19584731934369867,canonical330,chb02
time__std__T8-P8,0.061425444261400876,canonical330,chb02
time__rms__T8-P8,0.014762880391063155,canonical330,chb02
time__ptp__T8-P8,0.17513498837032046,canonical330,chb02
time__line_length__T8-P8,0.11925332841567322,canonical330,chb02
freq__delta__C3-P3,0.6290007079758456,canonical330,chb02
freq__theta__C3-P3,0.8234388195743162,canonical330,chb02
freq__alpha__C3-P3,-1.435179912406059,canonical330,chb02
freq__beta__C3-P3,0.6933567148550887,canonical330,chb02
freq__gamma__C3-P3,-0.334115877840029,canonical330,chb02
freq__delta__C4-P4,0.04828105294806195,canonical330,chb02
freq__theta__C4-P4,-0.8743334677230714,canonical330,chb02
freq__alpha__C4-P4,-1.1831502005598076,canonical330,chb02
