condition,trial,feature,mean_absolute_change,mean_clean_absolute_value
clean,0,time__line_length__P7-T7,0.0,0.03854046046405753
clean,0,time__mean__P8-O2,0.0,1.0122196925222164e-05
clean,0,time__std__P8-O2,0.0,0.00013617466007363532
clean,0,time__rms__P8-O2,0.0,0.00013665174437452746
clean,0,time__ptp__P8-O2,0.0,0.0007509322296243807
clean,0,time__line_length__P8-O2,0.0,0.03194233539935216
clean,0,time__mean__T7-FT9,0.0,6.4036389275754075e-06
clean,0,time__std__T7-FT9,0.0,8.157084971344471e-05
clean,0,time__rms__T7-FT9,0.0,8.183928038284503e-05
clean,0,time__ptp__T7-FT9,0.0,0.0005149315187292791
clean,0,time__line_length__T7-FT9,0.0,0.022310078519521714
clean,0,time__mean__T7-P7,0.0,1.2000367189641271e-06
clean,0,time__std__T7-P7,0.0,0.0001135642936738366
clean,0,time__rms__T7-P7,0.0,0.00011357684022269686
clean,0,time__ptp__T7-P7,0.0,0.0007863498203944879
clean,0,time__line_length__T7-P7,0.0,0.03854046046405753
clean,0,time__mean__T8-P8,0.0,7.248519293531336e-06
clean,0,time__std__T8-P8,0.0,0.00017062879573212167
clean,0,time__rms__T8-P8,0.0,0.0001708727184343365
clean,0,time__ptp__T8-P8,0.0,0.0009785734044038354
clean,0,time__line_length__T8-P8,0.0,0.04475679672224281
clean,0,freq__delta__C3-P3,0.0,8.640374906062587e-09
clean,0,freq__theta__C3-P3,0.0,8.117533289392256e-10
clean,0,freq__alpha__C3-P3,0.0,3.142101102116102e-10
clean,0,freq__beta__C3-P3,0.0,1.7092235749356978e-10
clean,0,freq__gamma__C3-P3,0.0,1.2921077383832937e-10
clean,0,freq__delta__C4-P4,0.0,1.3850085424210821e-08
clean,0,freq__theta__C4-P4,0.0,8.791808909129793e-10
clean,0,freq__alpha__C4-P4,0.0,4.593905789704594e-11
clean,0,freq__beta__C4-P4,0.0,4.003255183799567e-11
clean,0,freq__gamma__C4-P4,0.0,3.0285732001848075e-11
clean,0,freq__delta__CZ-PZ,0.0,8.777603369436057e-09
clean,0,freq__theta__CZ-PZ,0.0,8.064763106927861e-10
clean,0,freq__alpha__CZ-PZ,0.0,5.4668517426802404e-11
clean,0,freq__beta__CZ-PZ,0.0,2.4075513627514215e-11
clean,0,freq__gamma__CZ-PZ,0.0,7.571114787356535e-12
clean,0,freq__delta__F3-C3,0.0,1.1442634922569805e-08
clean,0,freq__theta__F3-C3,0.0,6.125741051456026e-10
clean,0,freq__alpha__F3-C3,0.0,9.554334046846398e-11
clean,0,freq__beta__F3-C3,0.0,9.935042415273426e-11
clean,0,freq__gamma__F3-C3,0.0,4.692826509532925e-11
clean,0,freq__delta__F4-C4,0.0,1.1549002635587615e-08
clean,0,freq__theta__F4-C4,0.0,8.722050458312436e-10
clean,0,freq__alpha__F4-C4,0.0,8.050943184072532e-11
clean,0,freq__beta__F4-C4,0.0,5.625548814033367e-11
clean,0,freq__gamma__F4-C4,0.0,5.685940744869695e-11
clean,0,freq__delta__F7-T7,0.0,9.692631813741733e-09
