seed,precision,recall,f1
0,0.943089430894309,0.9206349206349206,0.9317269076305221
1,0.9024390243902439,0.8809523809523809,0.891566265060241
2,0.9126984126984127,0.9126984126984127,0.9126984126984127
3,0.9047619047619048,0.9047619047619048,0.9047619047619048
4,0.9338842975206612,0.8968253968253969,0.9149797570850202
