feature_family,n_features,precision,recall,f1
entropy_hjorth,110,0.6194690265486725,0.6060606060606061,0.612691466083151
all_combined,330,0.6709677419354839,0.45021645021645024,0.538860103626943
time_domain,110,0.5086206896551724,0.5108225108225108,0.509719222462203
frequency_domain,110,0.4403292181069959,0.46320346320346323,0.45147679324894513
