model,precision,recall,f1
xgboost,0.6709677419354839,0.45021645021645024,0.538860103626943
logistic_regression,0.4411764705882353,0.6493506493506493,0.5253940455341506
random_forest,0.9411764705882353,0.3463203463203463,0.5063291139240507
