split,precision,recall,f1,f1_std
patient_independent (LOPO mean),0.44610417705407335,0.4766991341991342,0.3341113161677803,0.25214837273703394
patient_dependent (5-seed mean),0.9126320394404811,0.8777777777777779,0.8948088653269124,0.009599237662053776
