Noise_Intensity,Non_Seizure_CR,Seizure_CR,Non_Seizure_CV,Seizure_CV,Non_Seizure_Mean_Events,Seizure_Mean_Events
0.05,,,,,,
0.07474747474747476,,,,,,
0.0994949494949495,,,,,,
0.12424242424242425,,,,,,
0.148989898989899,,,,,,
0.17373737373737375,,,,,,
0.1984848484848485,,,,,,
0.22323232323232328,,,,,,
0.24797979797979802,,,,,,
0.27272727272727276,,,,,,
0.2974747474747475,,,,,,
0.32222222222222224,0.9949821411414516,,1.0050431647474516,,,
0.346969696969697,2.056453070157843,,0.48627416521751454,,,
0.3717171717171717,1.2135130200886235,0.69583334027245,0.824053787183074,1.4371257341714254,,
0.3964646464646465,1.7030722104426652,1.7241188781784096,0.587174163178952,0.5800064094516116,,
0.42121212121212126,,0.8598881593636745,,1.1684988740333475,,
0.445959595959596,1.257604204448774,1.22181020037103,0.8021807552107676,0.8184577274738152,,
0.47070707070707074,,1.2738870277788663,,0.7849989663083293,,
0.4954545454545455,,1.340515932316616,,0.8218403077225772,,
0.5202020202020203,1.6647774601213001,1.372789833145879,0.6006808861570827,0.728443623237218,,
0.5449494949494951,,0.8117385319284379,,1.2319237792301314,,
0.5696969696969698,1.546514026526661,0.9676509903620933,0.6466155384609831,1.0580467002577962,,
0.5944444444444446,1.3687295894863238,1.2972121650987904,0.7306641040461515,0.7708839208456267,,
0.6191919191919193,1.0849825778340265,1.1427140789104233,1.183649643191706,0.8751095470474111,,
0.643939393939394,1.19911319443895,1.4538678923455528,0.8339496259716227,0.6878204032600795,,
0.6686868686868688,1.235582521313478,1.2998013633963654,0.8105566190200915,0.7694104277201141,,
0.6934343434343435,1.2293903392589138,1.1158165047488997,0.8134113048283818,0.8962047036802321,,
0.7181818181818184,1.3838464396795784,1.251402467210978,0.7226320136900137,0.8048959340835127,,
0.7429292929292931,1.1079183687727012,1.0288462424645988,0.9025935738458349,0.97196548038825,,
0.7676767676767678,1.2790658730385314,1.0640833447895035,0.7852967146481968,0.9397760099307066,,
0.7924242424242426,1.2206972295708236,1.0010744113632206,0.8192039563746557,0.9989267417576307,,
0.8171717171717173,1.0370262261179122,1.1758151582163052,0.9667119209884603,0.8801271635401621,,
0.8419191919191921,1.1623773057072309,1.3469528453332607,0.8604803185820828,0.74251957734326,,
0.8666666666666668,1.1785459574724355,1.1047994045526872,0.8494253270867329,0.9082167450349845,,
0.8914141414141415,0.9827623566441509,1.1081583893707956,1.0180616145761048,0.9024029011052286,,
0.9161616161616163,1.2826672161737598,1.293481040048429,0.7796323141635015,0.7731807495311496,,
0.940909090909091,1.3494983216287022,1.1464614110581575,0.7410161124121336,0.8722491575857081,,
0.9656565656565658,1.1049690315321739,1.2113211286265293,0.905335312037626,0.8258025285700895,,
0.9904040404040406,1.271059311856504,1.1295887292974411,0.7867453475002706,0.8853555988881375,,
1.0151515151515154,1.1531641907492696,1.2575381853445697,0.867695134213734,0.7979300179416335,,
1.03989898989899,1.1887793863706866,1.1619219954563267,0.8411989738928555,0.8647050172840127,,
1.0646464646464648,1.2468873930072781,1.168522284320264,0.8022422511479137,0.8557817111564163,,
1.0893939393939396,1.1282783953602884,1.0963177104813782,0.8869133441284756,0.9121443450556989,,
1.1141414141414143,0.9978542810351202,1.0479455376919584,1.0021503329751253,0.954375222810794,,
1.138888888888889,1.1617537653170718,1.0737889307425492,0.8607675996875939,0.9313056727929188,,
1.1636363636363638,1.1969515009725207,1.136382096186464,0.8391113400949224,0.8799857049454205,,
1.1883838383838385,0.9977014362648862,1.042075703502982,1.0023039685733393,0.9596231796197313,,
1.2131313131313133,1.1175004472533705,1.170694218990152,0.8948542279851726,0.8541940190518804,,
1.237878787878788,1.131156961565003,1.3172256279435854,0.884050608340383,0.7595434298713126,,
1.2626262626262628,1.181946741794154,1.1878517847909869,0.846349182263998,0.8418825626869357,,
1.2873737373737375,1.1725271745249448,1.0551176711535053,0.8528881778368709,0.9477615884366262,,
1.3121212121212122,1.0293269424048477,1.1194107727257663,0.9715413204620071,0.8933271184848427,,
1.336868686868687,1.269884416916585,1.119400692493367,0.7874732429807326,0.8933351629188182,,
1.3616161616161617,1.002847025447704,1.1015313215433489,0.9974992186683582,0.9078271134395943,,
1.3863636363636367,1.1645025976741104,1.038189799931778,0.8587433599742745,0.9632150114224899,,
1.4111111111111114,1.2772887113801121,0.9791493391794656,0.7829128734151132,1.0212946687356266,,
1.4358585858585862,1.1190002422859808,1.1287560061045778,0.893655489754323,0.8859310555972814,,
1.460606060606061,1.0727899801184582,1.0529920576820004,0.9321489000946667,0.9496747793153785,,
1.4853535353535356,1.0696462791377337,1.0244986662288982,0.9348884949201364,0.97614793792159,,
1.5101010101010104,1.1095178119879752,1.0960597375400072,0.9012929751912432,0.9123863728285084,,
1.5348484848484851,1.0684725437758262,1.1617987721950502,0.9359208177682383,0.8614200369445,,
1.5595959595959599,1.0732816580428004,1.0843240051122773,0.9317445558456543,0.9223576875403843,,
1.5843434343434346,1.013458884387653,1.1003117328436418,0.986719851594389,0.908865787241276,,
1.6090909090909093,1.0671348502516809,1.0979190406687103,0.9374000511298524,0.9108139698451074,,
1.633838383838384,1.1631126612955256,1.0332534797457542,0.8597619416215077,0.9678378258055083,,
1.6585858585858588,1.0568003611892778,1.1328243239649944,0.9462543848789158,0.8827494068099663,,
1.6833333333333336,1.0547263300927003,0.9346943821174873,0.9481132417658612,1.0704395978791341,,
1.7080808080808083,1.1361380780803487,1.0780031140231654,0.8801747070123981,0.9277606109390476,,
1.732828282828283,1.0922530304813758,1.1011994476634208,0.9155387736111676,0.90810070975049,,
