Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_SNR_Smoothed,Seizure_SNR_Smoothed
0.5,-8.722464332103282,4.166134860305946,-9.175084285535823,4.244272706956963,-7.49691100655216,-8.90446797294728
0.6,-6.0832550046601686,3.9754777469160847,-8.2770648581921,3.7824773364944213,-7.041184294673786,-8.726921283615217
0.7,-5.493925657652158,3.6050877277130624,-8.64457944741912,4.95348289072736,-6.648860198957678,-8.567874959066893
0.7999999999999999,-6.116609186217303,4.4066064201976305,-9.218686420414404,4.503827995471288,-6.314251889521154,-8.426138281412806
0.8999999999999999,-7.042461762819883,3.3355548128837165,-7.382515718612638,4.5672655619940015,-6.031672536481537,-8.300520532763459
0.9999999999999999,-5.505118795834491,3.441379094957635,-6.959779027330971,3.564411272232095,-5.795435309956148,-8.189830995229354
1.0999999999999999,-5.802215121055899,4.046218129805923,-9.217076901663429,3.309278992539449,-5.599853380062309,-8.092878950920992
1.1999999999999997,-5.338393507587968,3.130964048519471,-9.236288043022276,3.6050853734233876,-5.439239916917341,-8.008473681948875
1.2999999999999998,-6.427823406897242,3.7837272340992314,-7.088766146819951,2.991689650756064,-5.307908090638565,-7.935424470423503
1.4,-4.6277999281796856,3.5051967834843634,-7.74407912241274,3.221572384790752,-5.200171071343304,-7.87254059845538
1.4999999999999998,-4.99240026158338,2.9178677521310554,-8.29327153515192,4.305602041608906,-5.110342029148784,-7.818631348154882
1.5999999999999996,-5.367937366315793,3.9223407232900316,-7.725039746192754,4.247556659864017,-5.1878076512645634,-7.843653612543954
1.6999999999999997,-4.099306043599395,3.611099150428252,-8.567102675873315,3.844011265107098,-5.020464571068033,-7.766924436106124
1.7999999999999998,-4.942206447772169,3.5907963246978554,-6.243554924149331,2.912558626161119,-4.812915058353397,-7.775463198988937
1.8999999999999997,-5.486472545247748,2.9326746109443675,-8.116063905112512,3.6930828214817817,-4.641949810013584,-7.7710729532081
1.9999999999999996,-4.419028909761257,3.3551223311535896,-6.395461996545083,3.015282678698296,-4.624386573265156,-7.674777248290191
2.0999999999999996,-4.4180833197719345,4.104817082087902,-8.049240688286782,3.538491573390501,-4.43036308067573,-7.3819090043148625
2.1999999999999997,-4.795645746358899,2.8053535342823555,-7.379631449958362,3.6238745182736274,-4.279855616752572,-7.283968523017631
2.3,-4.874692180989465,2.7776506913936445,-9.101999930575989,3.1353669668817337,-4.11742759387729,-7.359560100704344
2.3999999999999995,-2.7000466670814514,3.382770320860612,-7.418773668008166,3.797448668998122,-4.012921670899591,-7.243809468620506
2.4999999999999996,-4.766438099627243,4.372884152774079,-6.954000774604128,4.600740544107669,-3.877419033306165,-7.163299838738578
2.5999999999999996,-2.881708859661021,3.09091535678524,-6.6414418260526515,3.1253047093752624,-3.899419224961814,-7.077010697637553
2.6999999999999993,-3.917209110816375,4.081465165079541,-7.095215797955776,2.406392064742316,-3.8773349056919613,-6.943500968444024
2.7999999999999994,-3.743116012426872,2.8027296940304294,-6.0423688487084934,4.375365809192163,-3.7355690894118934,-7.137422823691094
2.8999999999999995,-3.7851723382961544,3.8848883020322673,-6.810961490039984,4.576918559884615,-3.674114264180858,-7.0703352503740335
2.9999999999999996,-2.7713293759647435,3.2733402423905846,-6.067349643431529,2.1385949500345522,-3.7182125457040827,-7.167249390911288
3.0999999999999996,-3.8784164686767006,3.2758695771912083,-7.970280940382385,4.039368367688807,-3.6802672136747683,-7.049501698731043
3.1999999999999993,-3.842158221120885,3.3094805574529538,-8.045174410229645,4.045941854837579,-3.6561523040914596,-7.022246473950498
3.2999999999999994,-3.8442376203524473,3.8188334005310054,-6.391042355824851,4.772638539371243,-3.687912424957239,-6.893863050843047
3.3999999999999995,-4.907763513635466,4.099708166896961,-6.9294122356614904,3.0607340484569767,-3.7283443023758718,-7.03002109023327
3.499999999999999,-4.309151853793339,2.4041970832182464,-6.959577183245925,2.7599719157916,-3.6258993152361336,-7.093115002406998
3.599999999999999,-2.3780598352268294,2.8010421719980014,-8.01905602868152,5.150605700074774,-3.612700154906308,-7.221157850112835
3.6999999999999993,-3.2617982248605735,3.341327537976791,-9.020124415988823,4.888948240135635,-3.505825960361416,-7.24039969074014
3.7999999999999994,-3.740542537185946,3.944646564147642,-5.785387789812883,3.492542425373347,-3.501858205879563,-7.229800561216424
3.8999999999999995,-3.5856917303372677,3.139427334088462,-6.661288131136544,2.825656156920942,-3.4530414554550752,-7.116913927446069
3.999999999999999,-2.9990962118082773,2.916182065343927,-5.79345901866911,3.8257339416751868,-3.48639986953131,-7.023429572627393
4.1,-3.286510373073176,3.696693152050622,-6.652826505670878,2.2729749432938786,-3.344148607366675,-6.847770117335287
4.199999999999999,-3.167473511012244,4.495430372674249,-6.955812602445408,3.323205408100847,-3.177634276012565,-6.732692978775046
4.299999999999999,-2.90669218881063,3.9181672555270053,-8.202115257178749,3.8874906373310196,-3.096891600308826,-6.734104572973879
4.399999999999999,-3.1906825192673187,3.7116205980331056,-7.073741471075939,3.084286827730641,-3.038005817945504,-6.551859680478972
4.499999999999999,-2.8695688212675825,3.4546850559926336,-6.971352347753973,3.8822393164786333,-3.0427415208627018,-6.347839053797038
4.599999999999999,-3.6988232258030918,3.7329560010852396,-5.296423859667801,3.885978457149934,-2.9193256931803067,-6.231875955839914
4.699999999999999,-3.2635429513552245,3.124338510243567,-5.758450034261033,2.6888643987590486,-2.6967797028084863,-6.258150961771478
4.799999999999999,-2.5780946640559947,3.8181374045476226,-6.188272172225661,2.270218436568049,-2.6123148699288135,-6.36640064434944
4.899999999999999,-2.8767558208473085,3.616061449287591,-6.077939932145777,3.9964184654526242,-2.6022486439784736,-6.30052630512364
4.999999999999999,-1.3791221375635356,2.9861976309872618,-6.014267075003709,3.8599854587153035,-2.5522609062397854,-6.274826616141467
