Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
0.001,5.518156799763322,1.968622767450232,6.3477298432632585,1.7075844821790769,0.0,0.0
0.006,1.706483244105885,2.076248491693206,0.033243672407320624,3.195679817150475,0.0,0.0
0.011,0.38590317149094566,2.3974854517847914,-2.7144160949623726,3.3477828654523862,0.0,0.0
0.016,-0.1705158826990573,2.2631976015737982,-2.7786464685601477,3.0311802775025374,0.0,0.0
0.021,-2.9083790807054224,2.9483798224122246,-3.204875269446002,3.646241996077052,0.0,0.0
0.026000000000000002,-2.0513974036321025,3.3129214781370764,-4.25925967896576,4.8786539256903305,0.0,0.0
0.031,-2.579674725011231,3.9902199962326956,-5.1701244156017125,3.1272134558339744,0.0,0.0
0.036000000000000004,-1.2638457624154662,2.5599893770232143,-5.219143118541789,3.605789250780773,0.0,0.0
0.041,-2.978973725548634,3.4310259566067836,-3.571824076884205,2.8437413288349522,0.0,0.0
0.046,-2.3169887179284268,3.191629937726841,-5.568814868147269,4.645109873464582,0.0,0.0
0.051000000000000004,-1.7591829982858518,2.2571835952167003,-7.136140421104135,5.1756009105134755,0.0,0.0
0.056,-3.546193696619769,4.016825267104925,-6.3867325312987315,4.2345951737429495,0.0,0.1
0.061,-2.978535915903793,4.9267535947593935,-6.006750487903789,3.7174385176260607,0.25,0.8
0.066,-2.7561444939152517,3.98202445963535,-5.173019955916614,3.38163666630275,0.75,0.2
0.07100000000000001,-4.56282026799873,3.3882912272250567,-6.390376862747365,4.266332597032963,2.9,0.55
0.076,-4.400870492525281,3.313244108338683,-5.5800259270238115,4.790351969977816,1.75,0.55
0.081,-3.5202325503571066,3.20172080480036,-6.1282240026073,3.6495055669495073,0.15,2.6
0.08600000000000001,-4.383146492428638,4.386075893574461,-6.8989820760936,3.6530383531298543,0.9,1.3
0.091,-5.122637488507502,2.806011951991297,-8.256697680805356,2.4335820343432437,5.2,3.65
0.096,-2.781199950147893,4.490463429205142,-7.144071470231428,3.7201289869880183,3.45,2.45
0.101,-4.4767676481520065,3.8481182323314287,-5.702925212014017,3.719744616463703,3.25,1.45
0.106,-4.673501502651134,4.5602527639147805,-6.025344579809556,3.358151336194887,2.95,1.25
0.111,-5.239054731699879,5.012344986626845,-6.558013517788085,3.000705688770322,5.4,5.8
0.116,-4.298600620055325,3.2499273721441875,-6.059518577676038,4.155908788060797,4.45,2.3
0.121,-5.228222614914351,4.9297195333141275,-7.098980102357101,5.490625057517554,5.95,5.0
0.126,-5.036803003808229,4.421762144757064,-5.974614799114926,2.8077239568068415,5.3,2.85
0.131,-6.1368803953676645,5.943963317779237,-7.513310096185682,3.206798165245819,4.25,1.4
0.136,-5.897738276359107,4.263604872283043,-8.611953167247894,4.344928868074109,9.95,4.4
0.14100000000000001,-5.126914844434035,4.456816407582091,-7.796471482083827,4.697356901728005,5.35,5.8
0.146,-6.90487210104934,5.378847483939221,-7.646850410037253,3.5696572657560717,7.9,3.5
0.151,-5.611953170106625,4.235204547695492,-8.05682922171528,3.5497741714168956,5.0,10.85
0.156,-2.8018945062770375,3.836959053423952,-8.6456308792154,4.59828564847766,2.4,8.1
0.161,-6.334048480732647,5.2611361121185,-9.690448349325145,4.521718271032284,9.65,11.95
0.166,-6.832368811674819,6.198677251072182,-6.622486100929846,3.965121701092333,11.3,6.1
0.171,-5.46754774908321,4.7289287666581235,-7.788729812533179,3.8596197986658067,8.3,12.5
0.17600000000000002,-6.453683270866077,4.221209073383982,-8.18333484657944,4.064650117905081,12.2,10.05
0.181,-5.813585094634532,4.722817658040376,-8.201628740722558,3.7468819631862607,14.5,9.15
0.186,-5.599378827280765,4.459911403939041,-7.9153326646368685,4.163809720271274,10.1,9.55
0.191,-5.907958001621023,5.732524326341559,-7.918110063797968,3.0558151705167003,12.0,14.7
0.196,-5.880722790479618,4.896388897368213,-8.615414825360505,4.439484063636531,8.5,10.6
0.201,-4.255815615888555,4.295719129810981,-7.885291826921366,4.660537404217342,10.75,11.8
0.20600000000000002,-8.429424438533506,6.66151029811124,-7.257738982964194,4.928458854227457,9.1,13.45
0.211,-7.635030398939229,5.168293050907312,-7.24682212083813,3.9462562996079025,10.15,6.75
0.216,-6.072797733393955,4.967273769113909,-9.040660470388342,3.7021196751765126,9.4,16.05
0.221,-8.861538176527414,5.437820093545593,-7.072353626982083,3.2825834145283337,13.4,12.7
0.226,-4.523347047000067,4.70740744540945,-7.77787455947158,3.7751413775788194,15.9,17.8
