Noise_Intensity,Non_Seizure_CR,Seizure_CR,Non_Seizure_CR_Smoothed,Seizure_CR_Smoothed
0.05,,,0.994982141141452,0.6958333402724504
0.0747474747474747,,,0.9949821411414521,0.6958333402724504
0.0994949494949495,,,0.9949821411414521,0.6958333402724504
0.1242424242424242,,,0.9949821411414521,0.6958333402724504
0.148989898989899,,,0.9949821411414521,0.6958333402724504
0.1737373737373737,,,0.9949821411414543,0.6958333402724519
0.1984848484848485,,,0.9949821411414543,0.6958333402724519
0.2232323232323232,,,0.905907657587631,0.6958333402724519
0.247979797979798,,,0.9989125064539237,0.6958333402724519
0.2727272727272727,,,1.049015372592275,0.6095436447838397
0.2974747474747475,,,1.1622475141311142,0.7036389261789078
0.3222222222222222,0.9949821411414516,,1.298739628441362,0.7606023148088958
0.346969696969697,2.056453070157843,,1.3937339207121426,0.8405745364173972
0.3717171717171717,1.2135130200886235,0.69583334027245,1.4553454916474533,0.9355365090829431
0.3964646464646465,1.7030722104426652,1.7241188781784096,1.4885257025909762,1.0418857711799858
0.4212121212121212,,0.8598881593636745,1.511413739332078,1.1977696581177486
0.445959595959596,1.257604204448774,1.22181020037103,1.5021940297363108,1.2683919721550683
0.4707070707070707,,1.2738870277788663,1.45038623499492,1.2528334940053372
0.4954545454545455,,1.340515932316616,1.5585378812287798,1.2199478594623947
0.5202020202020203,1.6647774601213,1.372789833145879,1.5116478650910659,1.1004351372600736
0.5449494949494951,,0.8117385319284379,1.50578312533416,1.1736776828610294
0.5696969696969698,1.546514026526661,0.9676509903620932,1.4717679022036814,1.1627134942792419
0.5944444444444446,1.3687295894863238,1.2972121650987904,1.3726213106994591,1.160466141140803
0.6191919191919193,1.0849825778340263,1.142714078910423,1.308799853234648,1.1943580519407422
0.643939393939394,1.19911319443895,1.4538678923455528,1.2314647907810503,1.2296985978766788
0.6686868686868688,1.235582521313478,1.2998013633963654,1.2050459805856204,1.2869481710285373
0.6934343434343435,1.2293903392589138,1.1158165047488997,1.2189941139714864,1.2250231945867212
0.7181818181818184,1.3838464396795784,1.251402467210978,1.2295032482085262,1.1382956161638926
0.7429292929292931,1.1079183687727012,1.0288462424645988,1.238010684045709,1.131369755674877
0.7676767676767678,1.2790658730385314,1.0640833447895035,1.2235389271559574,1.0966552003162109
0.7924242424242426,1.2206972295708236,1.0010744113632206,1.1697944999728134,1.0990856032693104
0.8171717171717173,1.0370262261179122,1.1758151582163052,1.13099625739435,1.1352561742317158
0.8419191919191921,1.1623773057072309,1.3469528453332609,1.134811198726568,1.1460140842012299
0.8666666666666668,1.1785459574724355,1.1047994045526872,1.151615131146745,1.1939498504998824
0.8914141414141415,0.9827623566441508,1.1081583893707956,1.157670145750302,1.1952420221298552
0.9161616161616164,1.2826672161737598,1.293481040048429,1.1833836368447979,1.205874898181829
0.940909090909091,1.3494983216287022,1.1464614110581577,1.2067954709108366,1.186409273967952
0.9656565656565658,1.104969031532174,1.2113211286265293,1.215511850129023,1.182754803992244
0.9904040404040406,1.271059311856504,1.1295887292974411,1.2351934551621517,1.2071460316564808
1.0151515151515154,1.1531641907492696,1.2575381853445695,1.2211665397500795,1.1883962981157017
1.03989898989899,1.1887793863706866,1.161921995456327,1.162748766756895,1.1484908971607524
1.0646464646464648,1.246887393007278,1.168522284320264,1.159179429137959,1.1469920872579675
1.0893939393939396,1.1282783953602884,1.0963177104813782,1.1537923105026935,1.1122250511840601
1.1141414141414143,0.9978542810351202,1.0479455376919584,1.1187831428635109,1.0847067284496617
1.138888888888889,1.1617537653170718,1.0737889307425492,1.1079274538818789,1.0811274999491236
1.1636363636363638,1.196951500972521,1.136382096186464,1.095920800692375,1.1178242996807286
1.1883838383838383,0.9977014362648862,1.042075703502982,1.1097785797017083,1.1349453687791426
1.2131313131313133,1.1175004472533705,1.170694218990152,1.1119924361216866,1.1565442188558874
1.237878787878788,1.131156961565003,1.3172256279435854,1.1454267033079313,1.1693932726449512
1.2626262626262628,1.181946741794154,1.1878517847909869,1.1250828730716502,1.1706942617204783
1.2873737373737375,1.1725271745249448,1.0551176711535053,1.1176136144062252,1.1617340916443677
1.3121212121212122,1.0293269424048477,1.1194107727257665,1.1512454641053629,1.130749335571495
1.336868686868687,1.269884416916585,1.119400692493367,1.1528780887549355,1.0907533595718812
1.3616161616161615,1.002847025447704,1.1015313215433489,1.1533549994713832,1.063008154997519
1.386363636363637,1.1645025976741104,1.038189799931778,1.142622741979822,1.0591616239355983
1.4111111111111114,1.277288711380112,0.9791493391794656,1.1427152699548762,1.054292928848952
1.4358585858585862,1.1190002422859808,1.1287560061045778,1.1409073660294569,1.0521562140430125
1.460606060606061,1.0727899801184582,1.0529920576820004,1.1159672999319192,1.059071467843132
1.4853535353535356,1.0696462791377337,1.0244986662288982,1.1141151461222631,1.0736786473190618
1.5101010101010104,1.1095178119879752,1.0960597375400072,1.066577794242928,1.0976078034159507
1.5348484848484851,1.0684725437758262,1.1617987721950502,1.0555989981769422,1.0984414090234071
1.55959595959596,1.0732816580428004,1.0843240051122771,1.0716710747582274,1.1045125465183192
1.5843434343434346,1.013458884387653,1.1003117328436418,1.0696693463050773,1.0994931827798498
1.6090909090909091,1.0671348502516809,1.0979190406687105,1.0736269210987026,1.0843930991539725
1.633838383838384,1.1631126612955256,1.0332534797457542,1.0702506667820917,1.0570501845241735
1.6585858585858588,1.0568003611892778,1.1328243239649944,1.0893943753891904,1.0560843332531547
1.6833333333333336,1.0547263300927003,0.9346943821174872,1.095539384264383,1.0611896964237841
1.7080808080808083,1.1361380780803487,1.0780031140231654,1.1093807804910905,1.0762186434080563
1.732828282828283,1.0922530304813758,1.1011994476634208,1.1204866364080392,1.1003017287290313
1.7575757575757578,1.1725884914482458,1.1759478268693735,1.1404790328957382,1.0967224326635776
1.7823232323232323,1.0952360127536749,1.0719893769071664,1.140179923589209,1.0811003002798913
