model,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
random_supervised,42,0.9560595767071538,0.061274162060969216,0.4443641257174912,0.26157282528968423,0.5512040305972346,0.3837251568383864,0.35195496142586585,0.260651599155515,0.8921916676764081,0.13992419534826478,0.5163095486557238,0.36285096269712397
selected_kd,42,0.9594372217030722,0.05629440179450212,0.5113186458418427,0.2950900051552339,0.6289232127096204,0.35550110752681224,0.42935956478753584,0.28927495998709485,0.9711635860267313,0.02357981018926042,0.5879387173087602,0.27622013247931937
selected_supervised,42,0.9364898169581576,0.08536097689629941,0.3480645112658297,0.24120393408643143,0.7129573824234019,0.34325631786406724,0.3780811670810147,0.25735287489698105,0.9416674521105906,0.06379637034534812,0.5708739607630449,0.3046361991966229
teacher,42,0.9629747195086285,0.05519115165607139,0.6550237203222905,0.370615164943347,0.47517137393350983,0.30157949188401867,0.38661036491346185,0.2710081809956501,0.9632876569974155,0.030818544021620223,0.5897276537573768,0.2006097830995539
