accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,windows,model,seed,test_patient,threshold
0.9921720070973802,0.9512195121951219,0.3482142857142857,0.5098039215686274,0.9970740989393962,0.8672290903030594,9467,2,73,39,9581,teacher,42,chb01,0.5
0.9941550986327106,0.6891891891891891,0.9107142857142857,0.7846153846153846,0.9899163435571715,0.8819706269640262,9423,46,10,102,9581,selected_supervised,42,chb01,0.5
0.996138190168041,0.8440366972477065,0.8214285714285714,0.832579185520362,0.9954513223601829,0.8976055774886783,9452,17,20,92,9581,selected_kd,42,chb01,0.5
0.9918588873812755,0.6011904761904762,0.9017857142857143,0.7214285714285714,0.9914872591765612,0.8864267306882451,9402,67,11,101,9581,random_supervised,42,chb01,0.5
0.99272920730626,0.5238095238095238,0.75,0.616822429906542,0.9713258591274677,0.5917894203353042,5565,30,11,33,5639,teacher,42,chb02,0.5
0.9648873913814506,0.16810344827586207,0.8863636363636364,0.2826086956521739,0.9814993094483712,0.4519283278953528,5402,193,5,39,5639,selected_supervised,42,chb02,0.5
0.988650469941479,0.3888888888888889,0.7954545454545454,0.5223880597014925,0.9832317816232026,0.3849346226856108,5540,55,9,35,5639,selected_kd,42,chb02,0.5
0.9865224330555062,0.2647058823529412,0.4090909090909091,0.32142857142857145,0.9299354131123568,0.1916095255389974,5545,50,26,18,5639,random_supervised,42,chb02,0.5
0.9897979797979798,1.0,0.019417475728155338,0.0380952380952381,0.9839053167652869,0.4932581756753004,9797,0,101,2,9900,teacher,42,chb03,0.5
0.9891919191919192,0.4411764705882353,0.14563106796116504,0.21897810218978103,0.8462983021352881,0.19659897966677162,9778,19,88,15,9900,selected_supervised,42,chb03,0.5
0.99,0.75,0.05825242718446602,0.10810810810810811,0.960186940523699,0.2868123850162539,9795,2,97,6,9900,selected_kd,42,chb03,0.5
0.9897979797979798,0.75,0.02912621359223301,0.056074766355140186,0.6491451216986377,0.1515005017075438,9796,1,100,3,9900,random_supervised,42,chb03,0.5
0.8650950382621575,0.08744588744588745,0.7214285714285714,0.155984555984556,0.9216169663042307,0.3280369904996445,6908,1054,39,101,8102,teacher,42,chb05,0.5
0.7877067390767711,0.07435344827586207,0.9857142857142858,0.13827655310621242,0.9855828578605519,0.8895511016426905,6244,1718,2,138,8102,selected_supervised,42,chb05,0.5
0.8617625277709208,0.10674157303370786,0.95,0.1919191919191919,0.9813426274805326,0.8561981478954167,6849,1113,7,133,8102,selected_kd,42,chb05,0.5
0.8483090594914836,0.09874723655121592,0.9571428571428572,0.1790247160988644,0.9794044030573797,0.8997634213219825,6739,1223,6,134,8102,random_supervised,42,chb05,0.5
0.9750793650793651,0.7126436781609196,0.5367965367965368,0.6123456790123457,0.9425160438506954,0.6683245919735751,6019,50,107,124,6300,teacher,42,chb08,0.5
0.9465079365079365,0.3675,0.6363636363636364,0.4659270998415214,0.9050404475515698,0.43432076764638344,5816,253,84,147,6300,selected_supervised,42,chb08,0.5
0.9606349206349206,0.4669260700389105,0.5194805194805194,0.4918032786885246,0.9356052581460392,0.5141428534578416,5932,137,111,120,6300,selected_kd,42,chb08,0.5
0.9638095238095238,0.507177033492823,0.4588744588744589,0.4818181818181818,0.9109861413371052,0.45224756402184985,5966,103,125,106,6300,random_supervised,42,chb08,0.5
