seed,test_patient,accuracy,precision,recall,f1,average_precision,roc_auc,comparison
42,chb01,0.0022962112514350874,0.08799871299871298,0.008928571428571397,0.06318681318681318,-0.004456103724218896,-0.0015709156193897122,selection_effect
42,chb02,-0.02163504167405561,-0.09660243407707911,0.47727272727272724,-0.03881987577639756,0.2603188023563554,0.051563896336014325,selection_effect
42,chb03,-0.00060606060606061,-0.3088235294117647,0.11650485436893203,0.16290333583464084,0.045098477959227806,0.19715318043665042,selection_effect
42,chb05,-0.060602320414712474,-0.02439378827535385,0.02857142857142858,-0.040748162992651965,-0.010212319679292037,0.00617845480317214,selection_effect
42,chb08,-0.017301587301587262,-0.13967703349282296,0.17748917748917747,-0.015891081976660393,-0.017926796375466403,-0.005945693785535444,selection_effect
42,chb01,0.0019830915353303835,0.15484750805851732,-0.0892857142857143,0.04796380090497743,0.015634950524652136,0.005534978803011348,kd_effect
42,chb02,0.02376307856002835,0.22078544061302682,-0.09090909090909094,0.2397793640493186,-0.06699370520974202,0.001732472174831412,kd_effect
42,chb03,0.0008080808080808133,0.3088235294117647,-0.08737864077669902,-0.11086999408167292,0.09021340534948227,0.1138886383884109,kd_effect
42,chb05,0.07405578869414964,0.03238812475784579,-0.03571428571428581,0.05364263881297948,-0.03335295374727376,-0.004240230380019305,kd_effect
42,chb08,0.014126984126984099,0.09942607003891052,-0.11688311688311692,0.02587617884700316,0.07982208581145817,0.03056481059446947,kd_effect
42,chb01,-0.003966183070660767,0.10718281494741544,-0.4732142857142857,-0.3227752639517346,-0.030376487185618917,0.001622776579213392,teacher_minus_kd
42,chb02,0.004078737364781038,0.13492063492063494,-0.045454545454545414,0.09443437020504952,0.20685479764969344,-0.011905922495734855,teacher_minus_kd
42,chb03,-0.00020202020202020332,0.25,-0.03883495145631068,-0.07001287001287002,0.2064457906590465,0.023718376241587902,teacher_minus_kd
42,chb05,0.0033325104912367287,-0.01929568558782041,-0.22857142857142854,-0.03593463593463592,-0.5281611573957722,-0.05972566117630185,teacher_minus_kd
42,chb08,0.014444444444444482,0.24571760812200905,0.017316017316017396,0.12054240032382113,0.15418173851573347,0.006910785704656197,teacher_minus_kd
