mode,feature,contexts,trials,valid,no_drive_valid,median_within_context_sd,between_context_mean_sd,pair_rank_median,pair_rank_min,pair_rank_max,split10_rank,split10_mae,paired_valid,delta_mean,delta_median,delta_abs_mean,delta_positive_fraction
centered,sr_value,135,2700,2700,0,4.7535612315988525,3.6673339067935493,0.6034460052677788,-0.0860598965954541,0.9291727636328163,0.9351868110428251,1.258661152351347,0,,,,
centered,cr_value,135,2700,2700,2700,0.31447602974271754,0.034456190000801266,-0.001642556304482509,-0.23851710576011834,0.4249422944057116,0.21048678177738758,0.09509722674537992,2700,0.04478574842798328,0.0,0.06396124562516188,0.42407407407407405
trailing,sr_value,135,2700,2700,0,4.813733003040912,3.7534043857640826,0.6080138523070919,-0.13416739830260463,0.926490098526973,0.9481904204467857,1.2496719885618526,0,,,,
trailing,cr_value,135,2700,2700,2700,0.3065893497391386,0.04029697594786787,-0.0047917300885687375,-0.29973856171348456,0.36499700395526885,0.23472946410124162,0.08765746936034682,2700,0.04919631047780896,0.0,0.06761185529622926,0.43148148148148147
